fid,id,Trial Name,TrialCode,ComboCode,Treatment,Block,DAS,704ExG_mean,704ExG_variance,704ExR_mean,704ExR_variance,704gNDVI_mean,704gNDVI_variance,704gNDRE_mean,704gNDRE_variance,704NDVI_mean,704NDVI_variance,704THRESH_mean,704THRESH_variance,704HA_mean,704HA_variance,704PLT_,PlotYield,PeakStand,HAYield
156,604,PYT Trial,25110,25110604,7,3,10,1590.416013,4875583.324,1590.416013,4875583.324,0.065155055,0.003029354,-0.026232904,0.000690503,0.257699423,0.005205272,0.027545211,0.026786472,0.872042676,0.111584247,82,223.7243261,0.347465228,256.5520382
157,605,PYT Trial,25110,25110605,11,3,10,1813.181327,10780069.23,1813.181327,10780069.23,0.062733698,0.003185516,-0.030748151,0.000642231,0.259454276,0.006984682,0.034825454,0.033612642,0.864153381,0.117392315,88,429.8459564,0.469926206,497.4185903
158,606,PYT Trial,25110,25110606,9,3,10,1681.844465,1352797.728,1681.844465,1352797.728,0.059542594,0.003142129,-0.028109939,0.000776999,0.249155212,0.003179748,0.012114182,0.011967428,0.928637206,0.066270145,56,1469.608472,0.393680635,1582.543175
159,607,PYT Trial,25110,25110607,6,3,10,2291.692586,2529660.597,2291.692586,2529660.597,0.055337965,0.00237293,-0.034494245,0.000474863,0.245883752,0.003625832,0.016299928,0.016034241,0.849085712,0.128139166,60,429.8138639,0.391785868,506.207863
160,608,PYT Trial,25110,25110608,14,3,10,3163.892264,5118406.933,3163.892264,5118406.933,0.054325291,0.002276221,-0.036784548,0.000474384,0.245203108,0.004685334,0.022795771,0.022276124,0.933503163,0.062075007,69,260.4637356,0.446201131,279.0175179
161,609,PYT Trial,25110,25110609,2,3,10,2929.187435,3558652.478,2929.187435,3558652.478,0.04839858,0.002436516,-0.037978012,0.000696746,0.232005655,0.003328516,0.013526605,0.013343636,0.880053102,0.105559639,50,459.5555199,0.303083216,522.1906708
162,610,PYT Trial,25110,25110610,3,3,10,3153.62992,5166972.905,3153.62992,5166972.905,0.053951497,0.002996675,-0.037759143,0.000756254,0.231746813,0.004873421,0.021340804,0.020885374,0.884974691,0.101794487,61,431.3157895,0.388695851,487.3764117
164,612,PYT Trial,25110,25110612,15,3,10,3177.906049,5281778.086,3177.906049,5281778.086,0.052814919,0.002316753,-0.031813119,0.000544817,0.231369601,0.004286409,0.016999004,0.016710037,0.835816416,0.137227335,61,1202.81611,0.347999904,1439.091273
230,101,Registration,25104,25104101,1,1,10,3727.62278,10385934.23,3727.62278,10385934.23,0.087768869,0.025517994,-0.035806273,0.00137791,0.285881151,0.039320508,0.180059079,0.147637807,0.99944984,0.000549858,324,534,0.273615596,534.2939473
231,102,Registration,25104,25104102,2,1,10,2641.866545,4326537.466,2641.866545,4326537.466,0.02389884,0.010942162,-0.0492004,0.000701055,0.213097661,0.017865999,0.074392206,0.068858006,0.990030277,0.009870328,213,1547,0.402379233,1562.578475
232,103,Registration,25104,25104103,3,1,10,3144.024327,8069572.223,3144.024327,8069572.223,0.04840423,0.02038471,-0.044278828,0.001067224,0.246705169,0.030693246,0.130974023,0.113819828,0.973115193,0.026162014,202,1172,0.320194688,1204.37951
