fid,id,left,top,right,bottom,row_index,col_index,Plot Numbe,_count,_sum,_mean
36,51,583062.7654,5031633.407,583065.0054,5031628.407,10,6,1006,1122,1091,0.972370766
51,71,583065.0054,5031633.407,583067.2454,5031628.407,10,7,1007,1119,889,0.794459339
66,91,583067.2454,5031633.407,583069.4854,5031628.407,10,8,1008,1118,972,0.86940966
81,111,583069.4854,5031633.407,583071.7254,5031628.407,10,9,1009,1122,975,0.868983957
96,131,583071.7254,5031633.407,583073.9654,5031628.407,10,13,1013,1119,1066,0.952636282
111,151,583073.9654,5031633.407,583076.2054,5031628.407,10,14,1014,1118,953,0.852415027
121,151,583073.9654,5031633.407,583076.2054,5031628.407,10,15,1015,1121,1055,0.941123996
136,151,583073.9654,5031633.407,583076.2054,5031628.407,10,19,1019,1121,762,0.679750223
151,151,583073.9654,5031633.407,583076.2054,5031628.407,10,20,1020,1121,937,0.835860839
166,151,583073.9654,5031633.407,583076.2054,5031628.407,10,21,1021,1119,1049,0.937444147
5,10,583058.2854,5031638.407,583060.5254,5031633.407,11,4,1104,1122,1066,0.950089127
20,30,583060.5254,5031638.407,583062.7654,5031633.407,11,5,1105,1119,1030,0.920464701
35,50,583062.7654,5031638.407,583065.0054,5031633.407,11,6,1106,1120,1111,0.991964286
50,70,583065.0054,5031638.407,583067.2454,5031633.407,11,7,1107,1117,947,0.847806625
65,90,583067.2454,5031638.407,583069.4854,5031633.407,11,8,1108,1122,926,0.825311943
80,110,583069.4854,5031638.407,583071.7254,5031633.407,11,9,1109,1120,918,0.819642857
95,130,583071.7254,5031638.407,583073.9654,5031633.407,11,13,1113,1117,1020,0.913160251
110,150,583073.9654,5031638.407,583076.2054,5031633.407,11,14,1114,1119,963,0.860589812
135,150,583073.9654,5031638.407,583076.2054,5031633.407,11,15,1115,1122,1076,0.959001783
150,150,583073.9654,5031638.407,583076.2054,5031633.407,11,19,1119,1118,899,0.80411449
165,150,583073.9654,5031638.407,583076.2054,5031633.407,11,20,1120,1123,1035,0.921638468
180,150,583073.9654,5031638.407,583076.2054,5031633.407,11,21,1121,1119,1069,0.955317248
4,9,583058.2854,5031643.407,583060.5254,5031638.407,12,4,1204,1119,743,0.663985702
19,29,583060.5254,5031643.407,583062.7654,5031638.407,12,5,1205,1121,1057,0.942908118
34,49,583062.7654,5031643.407,583065.0054,5031638.407,12,6,1206,1120,1094,0.976785714
49,69,583065.0054,5031643.407,583067.2454,5031638.407,12,7,1207,1122,917,0.817290553
64,89,583067.2454,5031643.407,583069.4854,5031638.407,12,8,1208,1119,653,0.583556747
79,109,583069.4854,5031643.407,583071.7254,5031638.407,12,9,1209,1121,950,0.847457627
94,129,583071.7254,5031643.407,583073.9654,5031638.407,12,13,1213,1121,925,0.825156111
