Experiment Name,BARCODE_128,BLOC,Org Name,Locn,Plot,Mason Plot #,Identity1,Description1,Name1 (Row Spacing),Name2 (Planting Density),Name3 (variety),Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Yield,Common Bacterial Blight,Lodging,Height,Desirability score,White Mold,anthracnose,Flowering Date,Maturity Date,Comments,Check,Planter,Planting Date,Plot Area,Actual Plants per ha,Stand %,Total weight,Plot size,Pallet,BOX,Row Spacing,Density  (plants/a),Plot Length,Existing Barcode,Seed Mass,Dry Weight,Name 2,Plants Selected,Population,Population Selections,Seed #,Org Name 2,Male parent,Female parent,F2 reps
24101-n,1BAF74E1C8,1,,LODS,39,9003,,,"30""",75000,Windbreaker,9,3,46,19.6,1482,1912,,,,,,,2024-07-21,2024-08-26,,0,39,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1346BCE35D,1,,LODS,40,10003,,,"30""",75000,Redhawk,10,3,52,20.4,358,457,,,,,,,2024-07-17,2024-08-21,,0,40,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1CDB6474C6,1,,LODS,41,11003,,,"30""",75000,Eclipse,11,3,25,20.3,1476,1888,,,,,,,2024-07-22,2024-08-28,,0,41,,,,,,,,,,,,,,,,,,,,,,,
24101-n,176658E42D,1,,LODS,42,12003,,,"30""",75000,Apex,12,3,51,19.5,1576,2036,,,,,,,2024-07-20,2024-09-02,,0,42,,,,,,,,,,,,,,,,,,,,,,,
24101-n,17ADAD86EC,1,,LODS,43,13003,,,"30""",75000,Cayenne,13,3,39,20.5,2047,2611,,,,,,,2024-07-25,2024-08-30,,0,43,,,,,,,,,,,,,,,,,,,,,,,
24101-n,10C128A4AC,1,,LODS,44,14003,,,"30""",75000,Merlot,14,3,42,18.6,918,1199,,,,,,,2024-07-24,2024-09-02,,0,44,,,,,,,,,,,,,,,,,,,,,,,
24101-n,16614BF8FB,1,,LODS,45,15003,,,"30""",75000,Nautica,15,3,24,21.2,1489,1883,,,,,,,2024-07-24,2024-08-30,,0,45,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1601855702,1,,LODS,46,15004,,,"22""",150000,Nautica,15,4,,,,,,,,,,,2024-07-23,2024-08-28,,0,46,,,,,,,,,,,,,,,,,,,,,,,
24101-n,162DD8AFEB,1,,LODS,47,14004,,,"22""",150000,Zorro,14,4,28,21.2,1570,1985,,,,,,,2024-07-24,2024-08-28,,0,47,,,,,,,,,,,,,,,,,,,,,,,
24101-n,196870E465,1,,LODS,48,13004,,,"22""",150000,Redhawk,13,4,54,20.7,645,821,,,,,,,2024-07-19,2024-08-26,,0,48,,,,,,,,,,,,,,,,,,,,,,,
