fid,id,left,top,right,bottom,row_index,col_index,_count,_sum,_mean
"104","139",583071.7254,5031593.4071,583073.9654,5031588.4071,"18","6",1118,951,0.850626118067978
"105","140",583071.7254,5031588.4071,583073.9654,5031583.4071,"19","6",1118,1101,0.98479427549195
"106","146",583073.9654,5031658.4071,583076.2054,5031653.4071,"5","7",1122,1081,0.963458110516934
"107","147",583073.9654,5031653.4071,583076.2054,5031648.4071,"6","7",1119,1001,0.894548704200179
"108","148",583073.9654,5031648.4071,583076.2054,5031643.4071,"7","7",1122,918,0.818181818181818
"109","149",583073.9654,5031643.4071,583076.2054,5031638.4071,"8","7",1120,895,0.799107142857143
"110","150",583073.9654,5031638.4071,583076.2054,5031633.4071,"9","7",1119,963,0.86058981233244
"111","151",583073.9654,5031633.4071,583076.2054,5031628.4071,"10","7",1118,953,0.852415026833631
"112","152",583073.9654,5031628.4071,583076.2054,5031623.4071,"11","7",1120,995,0.888392857142857
"113","153",583073.9654,5031623.4071,583076.2054,5031618.4071,"12","7",1121,992,0.884924174843889
"114","154",583073.9654,5031618.4071,583076.2054,5031613.4071,"13","7",1120,785,0.700892857142857
"115","155",583073.9654,5031613.4071,583076.2054,5031608.4071,"14","7",1120,1015,0.90625
"116","156",583073.9654,5031608.4071,583076.2054,5031603.4071,"15","7",1121,777,0.693131132917038
"117","157",583073.9654,5031603.4071,583076.2054,5031598.4071,"16","7",1118,825,0.737924865831843
"118","158",583073.9654,5031598.4071,583076.2054,5031593.4071,"17","7",1119,895,0.79982126899017
"119","159",583073.9654,5031593.4071,583076.2054,5031588.4071,"18","7",1120,938,0.8375
"120","160",583073.9654,5031588.4071,583076.2054,5031583.4071,"19","7",1118,1067,0.95438282647585
"121","151",583073.9654,5031633.4071,583076.2054,5031628.4071,"10","7",1121,1055,0.941123996431757
"122","160",583073.9654,5031588.4071,583076.2054,5031583.4071,"19","7",1122,1080,0.962566844919786
"123","152",583073.9654,5031628.4071,583076.2054,5031623.4071,"11","7",1122,1086,0.967914438502674
"124","153",583073.9654,5031623.4071,583076.2054,5031618.4071,"12","7",1120,1056,0.942857142857143
"125","154",583073.9654,5031618.4071,583076.2054,5031613.4071,"13","7",1117,742,0.664279319606088
"126","155",583073.9654,5031613.4071,583076.2054,5031608.4071,"14","7",1120,573,0.511607142857143
"127","156",583073.9654,5031608.4071,583076.2054,5031603.4071,"15","7",1119,946,0.845397676496872
"128","157",583073.9654,5031603.4071,583076.2054,5031598.4071,"16","7",1123,1068,0.951024042742654
"129","158",583073.9654,5031598.4071,583076.2054,5031593.4071,"17","7",1121,1071,0.955396966993756
"130","159",583073.9654,5031593.4071,583076.2054,5031588.4071,"18","7",1123,886,0.788958147818344
"131","146",583073.9654,5031658.4071,583076.2054,5031653.4071,"5","7",1118,796,0.711985688729875
"132","147",583073.9654,5031653.4071,583076.2054,5031648.4071,"6","7",1122,1065,0.949197860962567
"133","148",583073.9654,5031648.4071,583076.2054,5031643.4071,"7","7",1118,1069,0.956171735241503
"134","149",583073.9654,5031643.4071,583076.2054,5031638.4071,"8","7",1118,1049,0.938282647584973
"135","150",583073.9654,5031638.4071,583076.2054,5031633.4071,"9","7",1122,1076,0.959001782531194
"136","151",583073.9654,5031633.4071,583076.2054,5031628.4071,"10","7",1121,762,0.679750223015165
"137","160",583073.9654,5031588.4071,583076.2054,5031583.4071,"19","7",1122,993,0.885026737967914
"138","152",583073.9654,5031628.4071,583076.2054,5031623.4071,"11","7",1118,1034,0.924865831842576
"139","153",583073.9654,5031623.4071,583076.2054,5031618.4071,"12","7",1118,1026,0.917710196779964
"140","154",583073.9654,5031618.4071,583076.2054,5031613.4071,"13","7",1119,1053,0.941018766756032
"141","155",583073.9654,5031613.4071,583076.2054,5031608.4071,"14","7",1122,797,0.710338680926916
"142","156",583073.9654,5031608.4071,583076.2054,5031603.4071,"15","7",1120,1010,0.901785714285714
"143","157",583073.9654,5031603.4071,583076.2054,5031598.4071,"16","7",1119,946,0.845397676496872
"144","158",583073.9654,5031598.4071,583076.2054,5031593.4071,"17","7",1119,909,0.812332439678284
"145","159",583073.9654,5031593.4071,583076.2054,5031588.4071,"18","7",1121,1006,0.897413024085638
"146","146",583073.9654,5031658.4071,583076.2054,5031653.4071,"5","7",1119,490,0.437890974084004
"147","147",583073.9654,5031653.4071,583076.2054,5031648.4071,"6","7",1118,1018,0.910554561717352
"148","148",583073.9654,5031648.4071,583076.2054,5031643.4071,"7","7",1120,860,0.767857142857143
"149","149",583073.9654,5031643.4071,583076.2054,5031638.4071,"8","7",1120,1070,0.955357142857143
"150","150",583073.9654,5031638.4071,583076.2054,5031633.4071,"9","7",1118,899,0.804114490161002
