Experiment Name,BARCODE_128,BLOC,Org Name,Locn,Plot,Description1,SPACING,DENSITY,VARIETY,Treatment,Mason Plot #,qGIS plot number,Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Yield,Flowering Date,Maturity Date,HAsum,HAmean,HAmean2row,AdjustedYield2row,spatialcv,Weighted Adjustment(0.5),WeightedYield,AlgoYieldSiE,AlgoYieldSi,AlgoYieldN,AlgoYield,Comments,Check,Planter,Planting Date,Plot Area,Actual Plants per ha,Stand %,Total weight,Plot size,Pallet,BOX,Row Spacing,Density  (plants/a),Plot Length,Existing Barcode,Seed Mass,Dry Weight,Name 2,Plants Selected,Population,Population Selections,Seed #,Org Name 2,Male parent,Female parent,F2 reps
24101-n,1836349E2A,4,,LODS,272,,"22""",75000,CLERK,4,219,2019,2,19,70,20.7,639,813,2024-07-20,,124607,0.897413024,0.964814815,842.6487524,,0.909888751,893.5158277,813,,,,,0,272,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1EFD657BCD,4,,LODS,299,,"22""",100000,Merlot,22,220,2020,2,20,44,18.2,873,1146,2024-07-24,2024-08-27,119679,0.847729297,0.883548983,1297.041841,,0.893686101,1282.329443,1297.041841,,,,,0,299,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1846B14E28,4,,LODS,302,,"22""",150000,Ronnies red,42,221,2021,2,21,69,20,252,.,2024-07-25,2024-09-02,127166,0.939177102,0.996282528,.,,0.918311963,351.7323232,.,,,,,0,302,,,,,,,,,,,,,,,,,,,,,,,
24101-n,171E125DCE,4,,LODS,329,,"30""",150000,T9905,88,222,2022,2,22,28,19.2,602,781,2024-07-22,2024-08-30,149940,0.986440879,0.998210503,782.4001028,,0.99322044,786.3309784,781,,,,,0,329,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1B2DDA698C,4,,LODS,332,,"30""",100000,Ronnies red,72,223,2023,2,23,,,,.,2024-07-25,2024-08-31,149719,0.984993421,0.983736842,.,,,,,,,,,0,332,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1DE0FDE558,4,,LODS,359,,"30""",75000,Eclipse,50,224,2024,2,24,0,21.4,224,.,2024-07-28,2024-08-22,151780,0.998559201,0.998078922,.,,0.999279601,283.20402,.,,,,,0,359,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1143BB41EA,1,,LODS,3,,"30""",100000,Windbreaker,74,301,3001,3,1,42,21.2,1586,2005,2024-07-21,2024-08-23,151855,0.99903948,0.999749997,2005.501382,,0.99951974,2005.963384,2005,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1FA7816CE1,1,,LODS,28,,"30""",150000,Zorro,90,302,3002,3,2,25,19.4,2071,2678,2024-07-22,2024-08-26,148840,0.979210526,0.997605358,2684.428245,,0.989605263,2706.129504,2678,,,,,0,28,,,,,,,,,,,,,,,,,,,,,,,
24101-n,15158A5F69,1,,LODS,33,,"30""",75000,black bear,47,303,3003,3,3,26,21.7,1836,2307,2024-07-23,2024-08-31,134790,0.88678215,0.941461297,2450.445927,,0.943391075,2445.433353,2307,,,,,0,33,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1BEEB999A1,1,,LODS,58,,"22""",150000,Apex,31,304,3004,3,4,28,20.5,1623,2070,2024-07-22,2024-09-01,124963,0.919786096,0.987060998,2097.134831,,0.911059796,2272.079188,2070,,,,,0,58,,,,,,,,,,,,,,,,,,,,,,,
