id,left,top,right,bottom,row_index,col_index,Plot Numbe,HAsum,HAmean
239,583002.187500000000000,5031657.620000000111759,583007.187500000000000,5031654.580000000074506,22,3,423,113124.000000000000000,0.744241738
240,583002.187500000000000,5031654.580000000074506,583007.187500000000000,5031651.540000000037253,23,3,424,151574.000000000000000,0.997197368
289,583007.187500000000000,5031724.500000000000000,583012.187500000000000,5031721.459999999962747,0,4,501,151698.000000000000000,0.998013158
290,583007.187500000000000,5031721.459999999962747,583012.187500000000000,5031718.419999999925494,1,4,502,149375.000000000000000,0.982723798
291,583007.187500000000000,5031718.419999999925494,583012.187500000000000,5031715.379999999888241,2,4,503,144507.000000000000000,0.950691438
292,583007.187500000000000,5031715.379999999888241,583012.187500000000000,5031712.339999999850988,3,4,504,125912.000000000000000,0.828362971
293,583007.187500000000000,5031712.339999999850988,583012.187500000000000,5031709.300000000745058,4,4,505,118856.000000000000000,0.781942224
294,583007.187500000000000,5031709.300000000745058,583012.187500000000000,5031706.259999999776483,5,4,506,94032.000000000000000,0.618631579
295,583007.187500000000000,5031706.259999999776483,583012.187500000000000,5031703.219999999739230,6,4,507,115916.000000000000000,0.76261028
296,583007.187500000000000,5031703.219999999739230,583012.187500000000000,5031700.179999999701977,7,4,508,110257.000000000000000,0.725375
297,583007.187500000000000,5031700.179999999701977,583012.187500000000000,5031697.139999999664724,8,4,509,130871.000000000000000,0.860987757
298,583007.187500000000000,5031697.139999999664724,583012.187500000000000,5031694.099999999627471,9,4,510,151811.000000000000000,0.998750008
299,583007.187500000000000,5031694.099999999627471,583012.187500000000000,5031691.059999999590218,10,4,511,151265.000000000000000,0.995184115
300,583007.187500000000000,5031691.059999999590218,583012.187500000000000,5031688.019999999552965,11,4,512,148921.000000000000000,0.979743421
301,583007.187500000000000,5031688.019999999552965,583012.187500000000000,5031684.979999999515712,12,4,513,126287.000000000000000,0.830824594
302,583007.187500000000000,5031684.980000000447035,583012.187500000000000,5031681.940000000409782,13,4,514,89469.000000000000000,0.588611842
303,583007.187500000000000,5031681.940000000409782,583012.187500000000000,5031678.900000000372529,14,4,515,111164.000000000000000,0.731351728
304,583007.187500000000000,5031678.900000000372529,583012.187500000000000,5031675.860000000335276,15,4,516,140570.000000000000000,0.924802632
305,583007.187500000000000,5031675.860000000335276,583012.187500000000000,5031672.819999999366701,16,4,517,151532.000000000000000,0.996907935
306,583007.187500000000000,5031672.819999999366701,583012.187500000000000,5031669.780000000260770,17,4,518,127655.000000000000000,0.839841052
307,583007.187500000000000,5031669.780000000260770,583012.187500000000000,5031666.740000000223517,18,4,519,119543.000000000000000,0.786472279
308,583007.187500000000000,5031666.740000000223517,583012.187500000000000,5031663.700000000186265,19,4,520,125535.000000000000000,0.825882724
309,583007.187500000000000,5031663.700000000186265,583012.187500000000000,5031660.660000000149012,20,4,521,123300.000000000000000,0.811178874
310,583007.187500000000000,5031660.660000000149012,583012.187500000000000,5031657.620000000111759,21,4,522,146106.000000000000000,0.961236332
311,583007.187500000000000,5031657.620000000111759,583012.187500000000000,5031654.580000000074506,22,4,523,151202.000000000000000,0.99475
312,583007.187500000000000,5031654.580000000074506,583012.187500000000000,5031651.540000000037253,23,4,524,150103.000000000000000,0.98751324
361,583012.187500000000000,5031724.500000000000000,583017.187500000000000,5031721.459999999962747,0,5,601,129965.000000000000000,0.855021644
362,583012.187500000000000,5031721.459999999962747,583017.187500000000000,5031718.419999999925494,1,5,602,151962.000000000000000,0.999763155
363,583012.187500000000000,5031718.419999999925494,583017.187500000000000,5031715.379999999888241,2,5,603,144415.000000000000000,0.950098684
364,583012.187500000000000,5031715.379999999888241,583017.187500000000000,5031712.339999999850988,3,5,604,120972.000000000000000,0.795863185
365,583012.187500000000000,5031712.339999999850988,583017.187500000000000,5031709.300000000745058,4,5,605,113011.000000000000000,0.743503204
366,583012.187500000000000,5031709.300000000745058,583017.187500000000000,5031706.259999999776483,5,5,606,119735.000000000000000,0.787725081
367,583012.187500000000000,5031706.259999999776483,583017.187500000000000,5031703.219999999739230,6,5,607,88994.000000000000000,0.58548299
368,583012.187500000000000,5031703.219999999739230,583017.187500000000000,5031700.179999999701977,7,5,608,103567.000000000000000,0.681361842
369,583012.187500000000000,5031700.179999999701977,583017.187500000000000,5031697.139999999664724,8,5,609,120335.000000000000000,0.791688049
370,583012.187500000000000,5031697.139999999664724,583017.187500000000000,5031694.099999999627471,9,5,610,145550.000000000000000,0.957565789
371,583012.187500000000000,5031694.099999999627471,583017.187500000000000,5031691.059999999590218,10,5,611,133093.000000000000000,0.875600321
372,583012.187500000000000,5031691.059999999590218,583017.187500000000000,5031688.019999999552965,11,5,612,151523.000000000000000,0.996861842
373,583012.187500000000000,5031688.019999999552965,583017.187500000000000,5031684.979999999515712,12,5,613,123286.000000000000000,0.811102778
374,583012.187500000000000,5031684.980000000447035,583017.187500000000000,5031681.940000000409782,13,5,614,119337.000000000000000,0.785106677
375,583012.187500000000000,5031681.940000000409782,583017.187500000000000,5031678.900000000372529,14,5,615,83791.000000000000000,0.551252952
376,583012.187500000000000,5031678.900000000372529,583017.187500000000000,5031675.860000000335276,15,5,616,148769.000000000000000,0.978736982
377,583012.187500000000000,5031675.860000000335276,583017.187500000000000,5031672.819999999366701,16,5,617,151753.000000000000000,0.998388137
378,583012.187500000000000,5031672.819999999366701,583017.187500000000000,5031669.780000000260770,17,5,618,141755.000000000000000,0.932598684
379,583012.187500000000000,5031669.780000000260770,583017.187500000000000,5031666.740000000223517,18,5,619,107330.000000000000000,0.706113776
380,583012.187500000000000,5031666.740000000223517,583017.187500000000000,5031663.700000000186265,19,5,620,124466.000000000000000,0.81886065
381,583012.187500000000000,5031663.700000000186265,583017.187500000000000,5031660.660000000149012,20,5,621,123395.000000000000000,0.811809211
382,583012.187500000000000,5031660.660000000149012,583017.187500000000000,5031657.620000000111759,21,5,622,149638.000000000000000,0.984460526
383,583012.187500000000000,5031657.620000000111759,583017.187500000000000,5031654.580000000074506,22,5,623,151433.000000000000000,0.996263182
384,583012.187500000000000,5031654.580000000074506,583017.187500000000000,5031651.540000000037253,23,5,624,131093.000000000000000,0.862465296
433,583017.187500000000000,5031724.500000000000000,583022.187500000000000,5031721.459999999962747,0,6,701,141596.000000000000000,0.931540374
434,583017.187500000000000,5031721.459999999962747,583022.187500000000000,5031718.419999999925494,1,6,702,123769.000000000000000,0.814269737
435,583017.187500000000000,5031718.419999999925494,583022.187500000000000,5031715.379999999888241,2,6,703,148085.000000000000000,0.974243421
436,583017.187500000000000,5031715.379999999888241,583022.187500000000000,5031712.339999999850988,3,6,704,121350.000000000000000,0.798350011
437,583017.187500000000000,5031712.339999999850988,583022.187500000000000,5031709.300000000745058,4,6,705,118049.000000000000000,0.776627939
438,583017.187500000000000,5031709.300000000745058,583022.187500000000000,5031706.259999999776483,5,6,706,121688.000000000000000,0.80057368
439,583017.187500000000000,5031706.259999999776483,583022.187500000000000,5031703.219999999739230,6,6,707,104167.000000000000000,0.685322737
440,583017.187500000000000,5031703.219999999739230,583022.187500000000000,5031700.179999999701977,7,6,708,112700.000000000000000,0.741442491
441,583017.187500000000000,5031700.179999999701977,583022.187500000000000,5031697.139999999664724,8,6,709,126035.000000000000000,0.829172176
442,583017.187500000000000,5031697.139999999664724,583022.187500000000000,5031694.099999999627471,9,6,710,151444.000000000000000,0.99633555
443,583017.187500000000000,5031694.099999999627471,583022.187500000000000,5031691.059999999590218,10,6,711,151627.000000000000000,0.997565741
444,583017.187500000000000,5031691.059999999590218,583022.187500000000000,5031688.019999999552965,11,6,712,151792.000000000000000,0.998625009
445,583017.187500000000000,5031688.019999999552965,583022.187500000000000,5031684.979999999515712,12,6,713,126132.000000000000000,0.829804871
446,583017.187500000000000,5031684.980000000447035,583022.187500000000000,5031681.940000000409782,13,6,714,105086.000000000000000,0.691359812
447,583017.187500000000000,5031681.940000000409782,583022.187500000000000,5031678.900000000372529,14,6,715,97257.000000000000000,0.639852894
448,583017.187500000000000,5031678.900000000372529,583022.187500000000000,5031675.860000000335276,15,6,716,151812.000000000000000,0.998756587
449,583017.187500000000000,5031675.860000000335276,583022.187500000000000,5031672.819999999366701,16,6,717,147383.000000000000000,0.969625
450,583017.187500000000000,5031672.819999999366701,583022.187500000000000,5031669.780000000260770,17,6,718,112910.000000000000000,0.742828947
451,583017.187500000000000,5031669.780000000260770,583022.187500000000000,5031666.740000000223517,18,6,719,123278.000000000000000,0.81104481
452,583017.187500000000000,5031666.740000000223517,583022.187500000000000,5031663.700000000186265,19,6,720,122306.000000000000000,0.804639443
453,583017.187500000000000,5031663.700000000186265,583022.187500000000000,5031660.660000000149012,20,6,721,130952.000000000000000,0.861526316
454,583017.187500000000000,5031660.660000000149012,583022.187500000000000,5031657.620000000111759,21,6,722,151937.000000000000000,0.999598679
455,583017.187500000000000,5031657.620000000111759,583022.187500000000000,5031654.580000000074506,22,6,723,147817.000000000000000,0.972467468
456,583017.187500000000000,5031654.580000000074506,583022.187500000000000,5031651.540000000037253,23,6,724,146315.000000000000000,0.962598684
505,583022.187500000000000,5031724.500000000000000,583027.187500000000000,5031721.459999999962747,0,7,801,146571.000000000000000,0.964282895
506,583022.187500000000000,5031721.459999999962747,583027.187500000000000,5031718.419999999925494,1,7,802,151632.000000000000000,0.997578947
507,583022.187500000000000,5031718.419999999925494,583027.187500000000000,5031715.379999999888241,2,7,803,142067.000000000000000,0.934657465
508,583022.187500000000000,5031715.379999999888241,583027.187500000000000,5031712.339999999850988,3,7,804,129000.000000000000000,0.848678627
509,583022.187500000000000,5031712.339999999850988,583027.187500000000000,5031709.300000000745058,4,7,805,76037.000000000000000,0.50024013
510,583022.187500000000000,5031709.300000000745058,583027.187500000000000,5031706.259999999776483,5,7,806,113134.000000000000000,0.744312425
511,583022.187500000000000,5031706.259999999776483,583027.187500000000000,5031703.219999999739230,6,7,807,112556.000000000000000,0.740495128
512,583022.187500000000000,5031703.219999999739230,583027.187500000000000,5031700.179999999701977,7,7,808,115505.000000000000000,0.759901316
513,583022.187500000000000,5031700.179999999701977,583027.187500000000000,5031697.139999999664724,8,7,809,134725.000000000000000,0.886342853
