fid,id,left,top,right,bottom,row_index,col_index,Plot Numbe,_count,_mean
"97","132",583071.7254,5031628.4071,583073.9654,5031623.4071,"11","6","9013",845,1
"98","133",583071.7254,5031623.4071,583073.9654,5031618.4071,"12","6","8013",1026,1
"99","134",583071.7254,5031618.4071,583073.9654,5031613.4071,"13","6","7013",1065,1
"100","135",583071.7254,5031613.4071,583073.9654,5031608.4071,"14","6","6013",1003,1
"101","136",583071.7254,5031608.4071,583073.9654,5031603.4071,"15","6","5013",1088,1
"102","137",583071.7254,5031603.4071,583073.9654,5031598.4071,"16","6","4013",724,1
"103","138",583071.7254,5031598.4071,583073.9654,5031593.4071,"17","6","3013",1004,1
"104","139",583071.7254,5031593.4071,583073.9654,5031588.4071,"18","6","2013",951,1
"105","140",583071.7254,5031588.4071,583073.9654,5031583.4071,"19","6","1013",1101,1
"106","146",583073.9654,5031658.4071,583076.2054,5031653.4071,"5","7","15014",1081,1
"107","147",583073.9654,5031653.4071,583076.2054,5031648.4071,"6","7","14014",1001,1
"108","148",583073.9654,5031648.4071,583076.2054,5031643.4071,"7","7","13014",918,1
"109","149",583073.9654,5031643.4071,583076.2054,5031638.4071,"8","7","12014",895,1
"110","150",583073.9654,5031638.4071,583076.2054,5031633.4071,"9","7","11014",963,1
"111","151",583073.9654,5031633.4071,583076.2054,5031628.4071,"10","7","10014",953,1
"112","152",583073.9654,5031628.4071,583076.2054,5031623.4071,"11","7","9014",995,1
"113","153",583073.9654,5031623.4071,583076.2054,5031618.4071,"12","7","8014",992,1
"114","154",583073.9654,5031618.4071,583076.2054,5031613.4071,"13","7","7014",785,1
"115","155",583073.9654,5031613.4071,583076.2054,5031608.4071,"14","7","6014",1015,1
"116","156",583073.9654,5031608.4071,583076.2054,5031603.4071,"15","7","5014",777,1
"117","157",583073.9654,5031603.4071,583076.2054,5031598.4071,"16","7","4014",825,1
"118","158",583073.9654,5031598.4071,583076.2054,5031593.4071,"17","7","3014",895,1
"119","159",583073.9654,5031593.4071,583076.2054,5031588.4071,"18","7","2014",938,1
"120","160",583073.9654,5031588.4071,583076.2054,5031583.4071,"19","7","1014",1067,1
"121","151",583073.9654,5031633.4071,583076.2054,5031628.4071,"10","7","10015",1055,1
"122","160",583073.9654,5031588.4071,583076.2054,5031583.4071,"19","7","1015",1080,1
"123","152",583073.9654,5031628.4071,583076.2054,5031623.4071,"11","7","9015",1086,1
"124","153",583073.9654,5031623.4071,583076.2054,5031618.4071,"12","7","8015",1056,1
"125","154",583073.9654,5031618.4071,583076.2054,5031613.4071,"13","7","7015",742,1
"126","155",583073.9654,5031613.4071,583076.2054,5031608.4071,"14","7","6015",573,1
"127","156",583073.9654,5031608.4071,583076.2054,5031603.4071,"15","7","5015",946,1
"128","157",583073.9654,5031603.4071,583076.2054,5031598.4071,"16","7","4015",1068,1
"129","158",583073.9654,5031598.4071,583076.2054,5031593.4071,"17","7","3015",1071,1
"130","159",583073.9654,5031593.4071,583076.2054,5031588.4071,"18","7","2015",886,1
"131","146",583073.9654,5031658.4071,583076.2054,5031653.4071,"5","7","15015",796,1
"132","147",583073.9654,5031653.4071,583076.2054,5031648.4071,"6","7","14015",1065,1
"133","148",583073.9654,5031648.4071,583076.2054,5031643.4071,"7","7","13015",1069,1
"134","149",583073.9654,5031643.4071,583076.2054,5031638.4071,"8","7","12015",1049,1
"135","150",583073.9654,5031638.4071,583076.2054,5031633.4071,"9","7","11015",1076,1
"136","151",583073.9654,5031633.4071,583076.2054,5031628.4071,"10","7","10019",762,1
"137","160",583073.9654,5031588.4071,583076.2054,5031583.4071,"19","7","1019",993,1
"138","152",583073.9654,5031628.4071,583076.2054,5031623.4071,"11","7","9019",1034,1
"139","153",583073.9654,5031623.4071,583076.2054,5031618.4071,"12","7","8019",1026,1
"140","154",583073.9654,5031618.4071,583076.2054,5031613.4071,"13","7","7019",1053,1
"141","155",583073.9654,5031613.4071,583076.2054,5031608.4071,"14","7","6019",797,1
"142","156",583073.9654,5031608.4071,583076.2054,5031603.4071,"15","7","5019",1010,1
"143","157",583073.9654,5031603.4071,583076.2054,5031598.4071,"16","7","4019",946,1
"144","158",583073.9654,5031598.4071,583076.2054,5031593.4071,"17","7","3019",909,1
"145","159",583073.9654,5031593.4071,583076.2054,5031588.4071,"18","7","2019",1006,1
"146","146",583073.9654,5031658.4071,583076.2054,5031653.4071,"5","7","15019",490,1
"147","147",583073.9654,5031653.4071,583076.2054,5031648.4071,"6","7","14019",1018,1
"148","148",583073.9654,5031648.4071,583076.2054,5031643.4071,"7","7","13019",860,1
"149","149",583073.9654,5031643.4071,583076.2054,5031638.4071,"8","7","12019",1070,1
"150","150",583073.9654,5031638.4071,583076.2054,5031633.4071,"9","7","11019",899,1
"151","151",583073.9654,5031633.4071,583076.2054,5031628.4071,"10","7","10020",937,1
"152","160",583073.9654,5031588.4071,583076.2054,5031583.4071,"19","7","1020",1037,1
"153","152",583073.9654,5031628.4071,583076.2054,5031623.4071,"11","7","9020",972,1
"154","153",583073.9654,5031623.4071,583076.2054,5031618.4071,"12","7","8020",970,1
"155","154",583073.9654,5031618.4071,583076.2054,5031613.4071,"13","7","7020",1022,1
"156","155",583073.9654,5031613.4071,583076.2054,5031608.4071,"14","7","6020",1081,1
"157","156",583073.9654,5031608.4071,583076.2054,5031603.4071,"15","7","5020",1046,1
"158","157",583073.9654,5031603.4071,583076.2054,5031598.4071,"16","7","4020",1100,1
"159","158",583073.9654,5031598.4071,583076.2054,5031593.4071,"17","7","3020",1031,1
"160","159",583073.9654,5031593.4071,583076.2054,5031588.4071,"18","7","2020",952,1
"161","146",583073.9654,5031658.4071,583076.2054,5031653.4071,"5","7","15020",994,1
"162","147",583073.9654,5031653.4071,583076.2054,5031648.4071,"6","7","14020",1070,1
"163","148",583073.9654,5031648.4071,583076.2054,5031643.4071,"7","7","13020",1082,1
"164","149",583073.9654,5031643.4071,583076.2054,5031638.4071,"8","7","12020",1039,1
"165","150",583073.9654,5031638.4071,583076.2054,5031633.4071,"9","7","11020",1035,1
"166","151",583073.9654,5031633.4071,583076.2054,5031628.4071,"10","7","10021",1049,1
"167","160",583073.9654,5031588.4071,583076.2054,5031583.4071,"19","7","1021",1038,1
"168","152",583073.9654,5031628.4071,583076.2054,5031623.4071,"11","7","9021",1001,1
"169","153",583073.9654,5031623.4071,583076.2054,5031618.4071,"12","7","8021",1066,1
"170","154",583073.9654,5031618.4071,583076.2054,5031613.4071,"13","7","7021",1070,1
"171","155",583073.9654,5031613.4071,583076.2054,5031608.4071,"14","7","6021",994,1
"172","156",583073.9654,5031608.4071,583076.2054,5031603.4071,"15","7","5021",953,1
"173","157",583073.9654,5031603.4071,583076.2054,5031598.4071,"16","7","4021",1085,1
"174","158",583073.9654,5031598.4071,583076.2054,5031593.4071,"17","7","3021",1072,1
"175","159",583073.9654,5031593.4071,583076.2054,5031588.4071,"18","7","2021",1050,1
"176","146",583073.9654,5031658.4071,583076.2054,5031653.4071,"5","7","15021",339,1
"177","147",583073.9654,5031653.4071,583076.2054,5031648.4071,"6","7","14021",769,1
"178","148",583073.9654,5031648.4071,583076.2054,5031643.4071,"7","7","13021",1014,1
"179","149",583073.9654,5031643.4071,583076.2054,5031638.4071,"8","7","12021",1024,1
"180","150",583073.9654,5031638.4071,583076.2054,5031633.4071,"9","7","11021",1069,1
