fid,id,Trial,Row,Column,MasonPlot#,,,716ExG_mean,716ExG_variance,716ExR_mean,716ExR_variance,716gNDVI_mean,716gNDVI_variance,716NDVI_mean,716NDVI_variance,716THRESH_mean,716THRESH_variance,716HA_mean,716HA_variance,716PLT_,,
fid,id,Trial,Row,Column,Combocode,MasonPlot#,Date,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,NDRE_mean,NDRE_Var,THRESH_mean,THRESH_Var,HA Mean,PLT COUNT
67,3007,2501,14,2,,1402,,,82.43351231,994.8421835,-2235.355913,6938902.815,0.222807587,0.014124582,0.443745043,0.031965043,,,0.802512878,0.158485959,0.558724893,29
68,3008,2501,14,3,,1403,,,72.28569092,1356.535451,-1261.089551,11222317.1,0.173386594,0.024029442,0.368341887,0.055560347,,,0.688765913,0.21436743,0.270878139,9
69,3009,2501,14,4,,1404,,,75.71447261,1340.317765,-1543.582387,11013654.6,0.19034102,0.024850945,0.393242179,0.055312323,,,0.719787408,0.201693495,0.595888164,25
70,3010,2501,14,5,,1405,,,67.10610854,1097.564116,-996.1641455,9350488.782,0.177167417,0.02085148,0.364351459,0.048041076,,,0.67911099,0.217919253,0.513696758,30
71,3011,2501,15,1,,1501,,,78.05525404,1644.082964,-1467.98169,13950365.59,0.173732111,0.028334307,0.376112972,0.064382643,,,0.701039081,0.209583288,0.37558095,18
72,3012,2501,15,2,,1502,,,75.58005507,1573.292854,-1244.562395,13077214.16,0.180275408,0.029858812,0.376838651,0.066344534,,,0.69818162,0.210724046,0.203966315,7
73,3013,2501,15,3,,1503,,,77.69536767,1279.280512,-1514.782943,9278780.924,0.195008409,0.021679633,0.396685057,0.048303937,,,0.740818497,0.192006452,0.505459252,29
74,3014,2501,15,4,,1504,,,69.2588261,1333.561591,-864.551823,11475241.73,0.172073542,0.026587971,0.355794958,0.059802918,,,0.670428832,0.220954013,0.565020869,36
75,3015,2501,15,5,,1505,,,74.34641592,1009.731781,-1423.341826,8489527.47,0.197826493,0.020111035,0.396625785,0.042680149,,,0.773698555,0.175089101,0.777937772,37
76,3016,2501,16,1,,1601,,,78.17634549,1404.024303,-1559.103615,10196982.69,0.202135352,0.021114001,0.401783448,0.048977223,,,0.731174001,0.196558581,0.411165385,17
77,3017,2501,16,2,,1602,,,73.60423257,1282.978145,-1116.923012,10400283.69,0.170243655,0.022608488,0.362623158,0.052784745,,,0.699738191,0.210104655,0.587203791,29
78,3018,2501,16,3,,1603,,,64.67735427,1353.484591,-368.3317035,11678139.43,0.152116873,0.026068891,0.322178951,0.061093031,,,0.623180108,0.234826661,0.390415953,18
79,3019,2501,16,4,,1604,,,81.78420306,1544.448633,-1815.194214,11142798.72,0.212568134,0.022388133,0.419216723,0.052985446,,,0.743606522,0.190655863,0.455655597,19
80,3020,2501,16,5,,1605,,,71.85816338,1285.101597,-1061.835947,10051737.33,0.187178988,0.021893094,0.374401375,0.050877063,,,0.70392082,0.208416299,0.465872018,19
81,3021,2501,17,1,,1701,,,78.46489817,1628.484161,-1365.031572,13800034.74,0.180177145,0.022905998,0.376794488,0.056175417,,,0.704408517,0.208217158,0.407246747,14
82,3022,2501,17,2,,1702,,,78.56694737,1629.292911,-1353.28019,13202527.35,0.182032208,0.024340272,0.380810552,0.058852227,,,0.706074728,0.207533206,0.367260266,15
83,3023,2501,17,3,,1703,,,79.69561899,1576.435991,-1669.595278,10927578.82,0.206467959,0.022346504,0.409412804,0.052632194,,,0.732586353,0.195903589,0.24669194,9
84,3024,2501,17,4,,1704,,,70.3782745,1518.093054,-933.325937,13228872.85,0.172471263,0.02573659,0.358310785,0.060534474,,,0.674444596,0.219569083,0.410119015,15
