fid,id,Trial,Row,Column,Combocode,VarietyName,MasonPlot#,Date,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,NDRE_mean,NDRE_Var,THRESH_mean,THRESH_Var,HA_Mean,PLTCount,Yield,HACorrectedYield,HACorrected85Yield,Perplantyield,PeakStand
47,2017,2501,10,2,25011002,N22623,1002,6/12/2025,13,5.5910523,21.06941283,1105.07871,885052.5039,0.180560844,0.002382653,0.047599424,0.001357794,-0.036320743,0.000299632,0.042355004,0.040561058,0.965660542,88,2431.991166,2518.474204,2140.703073,27.63626325,0.667765937
48,2018,2501,10,3,25011003,N23717,1003,6/12/2025,13,4.872014026,11.75285036,1022.281372,558122.4326,0.164667528,0.001755816,0.029171409,0.001321174,-0.044502904,0.000233862,0.023860399,0.02329108,0.947454754,77,3479.095448,3672.043898,3121.237313,45.18305777,0.640976622
49,2019,2501,10,4,25011004,N22005,1004,6/12/2025,13,6.192023229,28.0288697,814.6020874,1173202.733,0.168043537,0.002866638,0.026270714,0.001710215,-0.04470125,0.000259359,0.040349532,0.038721447,0.987750861,96,2230.347849,2258.006484,1919.305511,23.23279009,0.729253707
50,2020,2501,10,5,25011005,N24847,1005,6/12/2025,13,5.669762727,20.76301853,776.8259249,811559.0813,0.169658511,0.002084315,0.027020937,0.001259147,-0.038518293,0.000186365,0.031535975,0.030541457,0.942617572,81,2971.280728,3152.159281,2679.335389,36.68247812,0.626632494
51,2021,2501,11,1,25011101,N23721,1101,6/12/2025,13,5.086091626,16.23091572,1185.772978,1074145.341,0.177782342,0.001542138,0.047037597,0.001164018,-0.034049104,0.00031697,0.027427663,0.026675387,0.948342174,87,2109.880689,2224.809512,1891.088086,24.25150218,0.609476812
52,2022,2501,11,2,25011102,N24842,1102,6/12/2025,13,5.953051772,29.29960199,1191.447365,1034163.016,0.186394212,0.002281376,0.057303768,0.001200705,-0.033841601,0.000278188,0.04094609,0.039269508,0.984580334,87,2095.245679,2128.059649,1808.850702,24.08328367,0.667775627
53,2023,2501,11,3,25011103,N24803,1103,6/12/2025,13,6.395308046,29.8400043,1269.449737,696089.4661,0.186232827,0.002007004,0.059944385,0.001137177,-0.033219791,0.000259953,0.033956369,0.032803334,0.933449992,63,2686.431967,2877.960244,2446.266208,42.64177725,0.701878254
54,2024,2501,11,4,25011104,N24816,1104,6/12/2025,13,8.357804197,34.68822554,1209.665951,979999.8446,0.195102968,0.00278455,0.066184223,0.001530861,-0.030538924,0.00027541,0.055662083,0.052563815,0.977162125,78,2575.649558,2635.846695,2240.469691,33.02114818,0.67187244
55,2025,2501,11,5,25011105,N24801,1105,6/12/2025,13,7.995809138,28.95388295,1182.990457,675351.6238,0.190265615,0.001923301,0.060143243,0.001098884,-0.028148225,0.000189123,0.037909499,0.036472369,0.947088308,77,2133.657528,2252.860173,1914.931147,27.70983803,0.521012755
56,2026,2501,12,1,25011201,N21511,1201,6/12/2025,13,6.421875856,46.07137703,1198.531672,1640620.898,0.192853651,0.002803227,0.062964301,0.001379051,-0.028927695,0.000466748,0.050457459,0.047911504,0.986549292,84,2539.600682,2574.225842,2188.091966,30.23334145,0.720690031
57,2027,2501,12,2,25011202,N22610,1202,6/12/2025,13,6.104246575,28.03721484,1233.284121,984739.0387,0.186320024,0.00191099,0.058341918,0.001067069,-0.031956728,0.000294239,0.037972603,0.036530684,0.9780374,77,2787.440153,2850.034316,2422.529168,36.20052146,0.756841645
58,2028,2501,12,3,25011203,N23716,1203,6/12/2025,13,8.026582625,36.18493327,1247.196596,1022972.1,0.192835149,0.002300997,0.065450575,0.001253351,-0.029073995,0.000330866,0.046505892,0.044343094,0.948256693,83,3309.006338,3489.568131,2966.132911,39.86754624,0.718267944
59,2029,2501,12,4,25011204,N24805,1204,6/12/2025,13,8.953188807,36.08392157,1310.091589,951601.9033,0.191463067,0.002297599,0.064955273,0.001312838,-0.027843253,0.00034628,0.039959438,0.038362681,0.973371972,72,2657.545132,2730.246203,2320.709273,36.91034905,0.631885087
60,2030,2501,12,5,25011205,N24848,1205,6/12/2025,13,8.19323473,18.49799312,1353.676138,580200.6246,0.187280992,0.001099806,0.06161249,0.000864011,-0.026787846,0.000198233,0.019857573,0.01946325,0.884218585,75,2516.709046,2846.252147,2419.314325,33.55612061,0.576469947
61,3001,2501,13,1,25011301,N22005,1301,6/12/2025,13,6.0063279,35.11556056,883.1839581,1306103.956,0.1915907,0.003057998,0.053044034,0.00154795,-0.030676714,0.000473616,0.055417066,0.052346015,0.980315678,71,2397.371807,2445.510013,2078.683511,33.7658001,0.774175044
62,3002,2501,13,2,25011302,N24805,1302,6/12/2025,13,5.887536994,33.8516511,937.5397732,1030782.552,0.190500778,0.002786457,0.053855599,0.001452722,-0.033742251,0.000276819,0.052696481,0.049919562,0.987988918,82,2774.460222,2808.189616,2386.961174,33.83488075,0.711157228
63,3003,2501,13,3,25011303,N22622,1303,6/12/2025,13,6.556602998,39.81085299,1053.673859,1261661.023,0.191538607,0.002723503,0.058543032,0.001336468,-0.033316188,0.000514874,0.048970979,0.046572822,0.97333552,73,2521.395525,2590.469034,2201.898679,34.53966473,0.665137239
64,3004,2501,13,4,25011304,N24826,1304,6/12/2025,13,6.61237232,21.78541858,1246.521642,1345589.05,0.186873859,0.002206192,0.058356309,0.001271078,-0.032875436,0.000580686,0.035846318,0.03456136,0.981318461,88,2855.379345,2909.737724,2473.277065,32.44749256,0.672263172
65,3005,2501,13,5,25011305,N23721,1305,6/12/2025,13,7.292940919,25.12716381,1259.102653,1018614.325,0.18616819,0.001689707,0.058092253,0.000982711,-0.031296145,0.000281381,0.030993094,0.030032522,0.983906244,95,2493.1884,2533.969486,2153.874063,26.24408842,0.653834603
66,3006,2501,14,1,25011401,N22605,1401,6/12/2025,13,5.781550604,77.25648113,622.6342842,2007814.411,0.197277801,0.004160757,0.051198036,0.001901402,-0.035610678,0.000531352,0.072131327,0.066928399,0.984635853,71,3092.515748,3140.771015,2669.655362,43.55655983,0.900305911
67,3007,2501,14,2,25011402,N22623,1402,6/12/2025,13,4.874140058,34.01513091,680.5328547,1086925.383,0.188269423,0.003569314,0.043697737,0.001800429,-0.040227516,0.000269167,0.06016171,0.056542279,0.983011611,72,2922.590023,2973.098171,2527.133445,40.5915281,0.871549865
68,3008,2501,14,3,25011403,N24801,1403,6/12/2025,13,5.230783986,35.20895342,895.9907546,1284536.65,0.18648284,0.002718652,0.048136609,0.001376265,-0.039423215,0.000394479,0.046529471,0.04436448,0.954122086,77,2516.370991,2637.36793,2241.762741,32.68014274,0.744414705
69,3009,2501,14,4,25011404,N23716,1404,6/12/2025,13,5.59792854,29.8443118,1063.946076,1328578.466,0.185909057,0.00250122,0.052026636,0.00131792,-0.037056245,0.000497231,0.043566418,0.041668385,0.977452517,82,2454.329004,2510.944482,2134.302809,29.93084151,0.758743072
70,3010,2501,14,5,25011405,N23706,1405,6/12/2025,13,6.117801764,33.09702078,1073.335636,1204298.899,0.1921655,0.002638101,0.058872339,0.001252786,-0.031956033,0.000378271,0.051010904,0.048408791,0.982136998,77,3346.199611,3407.059928,2896.000939,43.45713781,0.691377239
71,3011,2501,15,1,25011501,N21510,1501,6/12/2025,13,3.37176922,29.98600308,689.8396875,1396235.553,0.185493564,0.003013404,0.040834509,0.001761735,-0.037259323,0.000518635,0.049828697,0.047345798,0.990667493,79,3497.646534,3530.595844,3001.006467,44.27400675,0.701039081
72,3012,2501,15,2,25011502,N24848,1502,6/12/2025,13,3.2917032,26.19455633,839.1261291,1098423.354,0.184204102,0.002379755,0.044106666,0.001475193,-0.038266844,0.00041114,0.040990794,0.039310548,0.979240709,81,4040.77475,4126.436648,3507.471151,49.88610803,0.731895139
73,3013,2501,15,3,25011503,N24851,1503,6/12/2025,13,4.156813325,31.73662814,1036.814865,1383259.352,0.189864428,0.002795896,0.056486256,0.001528485,-0.033249506,0.000291439,0.047230289,0.044999589,0.955509787,70,2681.214567,2806.056622,2385.148129,38.30306524,0.740818497
74,3014,2501,15,4,25011504,N18103,1504,6/12/2025,13,4.765911395,21.71719628,1121.202296,1394980.481,0.190630859,0.003194418,0.059205889,0.001713958,-0.030545488,0.000293564,0.052494589,0.049738907,0.983212118,76,2398.328572,2439.278899,2073.387064,31.5569549,0.670428832
