fid,id,Mason ComboCode,Trial,Row,Column,DAS,MasonPlot#,612ExR_mean,612ExR_variance,612NDRE_mean,612NDRE_variance,612gNDVI_mean,612gNDVI_variance,612THRESH_mean,612THRESH_variance,612PLTCOUNT,6-12HA_mean
17,1017,25010402,2501,4,2,13,402,1140.73036,679106.1097,-0.03370899,0.000503582,0.052687703,0.001197662,0.03141519,0.030428276,80,0.975175431
18,1018,25010403,2501,4,3,13,403,1134.832036,1016975.341,-0.028785899,0.000543061,0.059828338,0.001637569,0.056141312,0.052989465,70,0.959989063
19,1019,25010404,2501,4,4,13,404,1288.797825,795466.0566,-0.025985987,0.000546875,0.0556468,0.001181016,0.031701236,0.030696267,80,0.967794849
20,1020,25010405,2501,4,5,13,405,1131.873032,782424.5439,-0.02797241,0.000251783,0.048736097,0.001100978,0.036028384,0.03473034,86,0.965297902
21,1021,25010501,2501,5,1,13,501,884.5059062,1928958.828,-0.036501846,0.000261533,0.055413862,0.001714514,0.072430419,0.067184253,79,0.961945032
22,1022,25010502,2501,5,2,13,502,998.6267957,1079252.189,-0.041363924,0.000254551,0.042833807,0.001590987,0.050769905,0.048192322,87,0.975957858
23,1023,25010503,2501,5,3,13,503,1028.653067,884669.1788,-0.045260769,0.000338309,0.024421514,0.001529708,0.036057758,0.034757596,77,0.943972588
24,1024,25010504,2501,5,4,13,504,1070.104839,1011582.061,-0.042643478,0.000340182,0.022816332,0.00170527,0.03647816,0.035147504,67,0.967263315
25,1025,25010505,2501,5,5,13,505,1028.125849,856711.9308,-0.03733344,0.000183111,0.029096472,0.001448815,0.039055653,0.037530309,94,0.965714598
26,1026,25010601,2501,6,1,13,601,1207.633883,1640996.939,-0.035789242,0.000558053,0.060868502,0.00205019,0.059759974,0.056188719,74,0.964876786
27,1027,25010602,2501,6,2,13,602,1214.085529,982889.2884,-0.042229081,0.000350723,0.041294323,0.001331633,0.031821667,0.030809049,84,0.972241967
28,1028,25010603,2501,6,3,13,603,1087.858643,846554.8015,-0.045640225,0.00026153,0.019826304,0.001237318,0.023391493,0.022844331,94,0.96449208
29,1029,25010604,2501,6,4,13,604,1062.410589,1137679.696,-0.042867744,0.000317525,0.017608284,0.001593323,0.033788228,0.032646583,84,0.979131354
30,1030,25010605,2501,6,5,13,605,1021.952703,916593.7226,-0.036870253,0.000235654,0.027428261,0.001261745,0.033067587,0.031974122,99,0.969688132
31,2001,25010701,2501,7,1,13,701,1169.061184,1291543.674,-0.032531865,0.000357319,0.054167009,0.001460608,0.039558392,0.037993526,75,0.942511346
32,2002,25010702,2501,7,2,13,702,913.6155904,1897025.772,-0.035059152,0.000327484,0.057630682,0.001751105,0.075951102,0.070182532,78,0.980697022
33,2003,25010703,2501,7,3,13,703,1058.548476,973875.6309,-0.036270629,0.000270478,0.047726533,0.00126965,0.04122355,0.039524169,95,0.980770983
34,2004,25010704,2501,7,4,13,704,1119.249073,909566.5628,-0.034965704,0.000293386,0.046917913,0.001303041,0.038245528,0.036782807,83,0.977599563
35,2005,25010705,2501,7,5,13,705,1017.932217,929721.6764,-0.034030289,0.000207254,0.046575673,0.001629916,0.050597522,0.048037413,72,0.963602894
36,2006,25010801,2501,8,1,13,801,1208.976822,1166502.986,-0.035691499,0.000735405,0.048974028,0.001689899,0.033632103,0.032500984,87,0.969416396
37,2007,25010802,2501,8,2,13,802,1065.018619,1199471.559,-0.033912149,0.000639786,0.055526107,0.00207163,0.061315068,0.057555531,67,0.970400612
38,2008,25010803,2501,8,3,13,803,1148.825857,938281.4471,-0.028038341,0.00039354,0.057641454,0.001334084,0.044127724,0.042180468,78,0.948654856
39,2009,25010804,2501,8,4,13,804,1133.733558,911887.0765,-0.024459082,0.000295632,0.057099489,0.001194982,0.043741441,0.041828127,80,0.981243848
40,2010,25010805,2501,8,5,13,805,1017.091704,893242.183,-0.024398643,0.000239161,0.054133118,0.00149602,0.049571386,0.047114063,84,0.977725525
41,2011,25010901,2501,9,1,13,901,909.4367875,932909.6597,-0.033274449,0.000487866,0.044550876,0.001278633,0.034008386,0.032851815,80,0.973717785
42,2012,25010902,2501,9,2,13,902,999.715125,812960.0871,-0.036900664,0.000433699,0.041756493,0.00139097,0.036928472,0.03556476,92,0.980351056
43,2013,25010903,2501,9,3,13,903,994.8467749,982721.0859,-0.038676989,0.000333914,0.031664123,0.001664909,0.046089768,0.043965501,70,0.946834105
44,2014,25010904,2501,9,4,13,904,954.6132893,1161616.043,-0.036351914,0.000353518,0.024551588,0.001837533,0.044882861,0.042868389,82,0.984143185
45,2015,25010905,2501,9,5,13,905,882.859949,818532.7829,-0.031708147,0.000239731,0.026525387,0.001289176,0.032528569,0.031470461,73,0.961122047
46,2016,25011001,2501,10,1,13,1001,1207.852934,816821.9835,-0.031997807,0.000381848,0.048121188,0.001286199,0.028674719,0.027852479,82,0.969506416
47,2017,25011002,2501,10,2,13,1002,1105.07871,885052.5039,-0.036320743,0.000299632,0.047599424,0.001357794,0.042355004,0.040561058,88,0.965660542
48,2018,25011003,2501,10,3,13,1003,1022.281372,558122.4326,-0.044502904,0.000233862,0.029171409,0.001321174,0.023860399,0.02329108,77,0.947454754
49,2019,25011004,2501,10,4,13,1004,814.6020874,1173202.733,-0.04470125,0.000259359,0.026270714,0.001710215,0.040349532,0.038721447,96,0.987750861
50,2020,25011005,2501,10,5,13,1005,776.8259249,811559.0813,-0.038518293,0.000186365,0.027020937,0.001259147,0.031535975,0.030541457,81,0.942617572
51,2021,25011101,2501,11,1,13,1101,1185.772978,1074145.341,-0.034049104,0.00031697,0.047037597,0.001164018,0.027427663,0.026675387,87,0.948342174
52,2022,25011102,2501,11,2,13,1102,1191.447365,1034163.016,-0.033841601,0.000278188,0.057303768,0.001200705,0.04094609,0.039269508,87,0.984580334
53,2023,25011103,2501,11,3,13,1103,1269.449737,696089.4661,-0.033219791,0.000259953,0.059944385,0.001137177,0.033956369,0.032803334,63,0.933449992
54,2024,25011104,2501,11,4,13,1104,1209.665951,979999.8446,-0.030538924,0.00027541,0.066184223,0.001530861,0.055662083,0.052563815,78,0.977162125
55,2025,25011105,2501,11,5,13,1105,1182.990457,675351.6238,-0.028148225,0.000189123,0.060143243,0.001098884,0.037909499,0.036472369,77,0.947088308
56,2026,25011201,2501,12,1,13,1201,1198.531672,1640620.898,-0.028927695,0.000466748,0.062964301,0.001379051,0.050457459,0.047911504,84,0.986549292
57,2027,25011202,2501,12,2,13,1202,1233.284121,984739.0387,-0.031956728,0.000294239,0.058341918,0.001067069,0.037972603,0.036530684,77,0.9780374
58,2028,25011203,2501,12,3,13,1203,1247.196596,1022972.1,-0.029073995,0.000330866,0.065450575,0.001253351,0.046505892,0.044343094,83,0.948256693
59,2029,25011204,2501,12,4,13,1204,1310.091589,951601.9033,-0.027843253,0.00034628,0.064955273,0.001312838,0.039959438,0.038362681,72,0.973371972
60,2030,25011205,2501,12,5,13,1205,1353.676138,580200.6246,-0.026787846,0.000198233,0.06161249,0.000864011,0.019857573,0.01946325,75,0.884218585
61,3001,25011301,2501,13,1,13,1301,883.1839581,1306103.956,-0.030676714,0.000473616,0.053044034,0.00154795,0.055417066,0.052346015,71,0.980315678
62,3002,25011302,2501,13,2,13,1302,937.5397732,1030782.552,-0.033742251,0.000276819,0.053855599,0.001452722,0.052696481,0.049919562,82,0.987988918
63,3003,25011303,2501,13,3,13,1303,1053.673859,1261661.023,-0.033316188,0.000514874,0.058543032,0.001336468,0.048970979,0.046572822,73,0.97333552
64,3004,25011304,2501,13,4,13,1304,1246.521642,1345589.05,-0.032875436,0.000580686,0.058356309,0.001271078,0.035846318,0.03456136,88,0.981318461
65,3005,25011305,2501,13,5,13,1305,1259.102653,1018614.325,-0.031296145,0.000281381,0.058092253,0.000982711,0.030993094,0.030032522,95,0.983906244
66,3006,25011401,2501,14,1,13,1401,622.6342842,2007814.411,-0.035610678,0.000531352,0.051198036,0.001901402,0.072131327,0.066928399,71,0.984635853
67,3007,25011402,2501,14,2,13,1402,680.5328547,1086925.383,-0.040227516,0.000269167,0.043697737,0.001800429,0.06016171,0.056542279,72,0.983011611
68,3008,25011403,2501,14,3,13,1403,895.9907546,1284536.65,-0.039423215,0.000394479,0.048136609,0.001376265,0.046529471,0.04436448,77,0.954122086
69,3009,25011404,2501,14,4,13,1404,1063.946076,1328578.466,-0.037056245,0.000497231,0.052026636,0.00131792,0.043566418,0.041668385,82,0.977452517
70,3010,25011405,2501,14,5,13,1405,1073.335636,1204298.899,-0.031956033,0.000378271,0.058872339,0.001252786,0.051010904,0.048408791,77,0.982136998
71,3011,25011501,2501,15,1,13,1501,689.8396875,1396235.553,-0.037259323,0.000518635,0.040834509,0.001761735,0.049828697,0.047345798,79,0.990667493
72,3012,25011502,2501,15,2,13,1502,839.1261291,1098423.354,-0.038266844,0.00041114,0.044106666,0.001475193,0.040990794,0.039310548,81,0.979240709
73,3013,25011503,2501,15,3,13,1503,1036.814865,1383259.352,-0.033249506,0.000291439,0.056486256,0.001528485,0.047230289,0.044999589,70,0.955509787
74,3014,25011504,2501,15,4,13,1504,1121.202296,1394980.481,-0.030545488,0.000293564,0.059205889,0.001713958,0.052494589,0.049738907,76,0.983212118
75,3015,25011505,2501,15,5,13,1505,1105.572222,1339754.566,-0.027186946,0.000214663,0.059880072,0.001486884,0.052918608,0.050118229,68,0.967941241
76,3016,25011601,2501,16,1,13,1601,1075.401485,1500024.806,-0.02997882,0.00024729,0.049117772,0.001436579,0.045941429,0.043830815,82,0.980004375
77,3017,25011602,2501,16,2,13,1602,1023.434744,1349021.411,-0.032835801,0.000292472,0.051542973,0.001661047,0.052334502,0.049595602,90,0.987442132
78,3018,25011603,2501,16,3,13,1603,1045.830228,1293174.084,-0.033652489,0.000435819,0.054529028,0.001693623,0.04742076,0.045172031,64,0.953741001
79,3019,25011604,2501,16,4,13,1604,922.0311158,1575474.968,-0.033414548,0.000434027,0.055011948,0.001890686,0.059458571,0.055923249,80,0.963270812
80,3020,25011605,2501,16,5,13,1605,1158.600367,1032603.802,-0.030500496,0.000233371,0.054501898,0.001427201,0.034384504,0.03320221,90,0.981718098
81,3021,25011701,2501,17,1,13,1701,1214.956083,1146707.881,-0.031611203,0.000418639,0.050358674,0.001471958,0.04426234,0.042303185,75,0.969705807
82,3022,25011702,2501,17,2,13,1702,1171.584616,1089007.184,-0.033819441,0.000421418,0.053719957,0.001460637,0.049188863,0.046769319,72,0.974282798
83,3023,25011703,2501,17,3,13,1703,973.6247506,1614169.071,-0.034211088,0.000339181,0.056484496,0.001656319,0.06165735,0.057855721,59,0.957477445
84,3024,25011704,2501,17,4,13,1704,935.0090822,1869478.415,-0.033737885,0.000319608,0.05317513,0.001512288,0.053382635,0.050532929,74,0.980733126
85,3025,25011705,2501,17,5,13,1705,975.7200164,1137510.095,-0.033107499,0.000240301,0.04724439,0.001194108,0.040586061,0.038938832,75,0.973059186
86,3026,25011801,2501,18,1,13,1801,1089.383005,1386832.694,-0.028117747,0.000270249,0.054436283,0.001337992,0.046679816,0.044500811,90,0.977015475
87,3027,25011802,2501,18,2,13,1802,953.9321904,1539441.885,-0.028696684,0.00032235,0.057216867,0.001646651,0.062671195,0.058743517,74,0.979092616
88,3028,25011803,2501,18,3,13,1803,841.7953918,1929467.303,-0.026322557,0.000369134,0.057313277,0.00185383,0.06509589,0.060858415,58,0.96790362
89,3029,25011804,2501,18,4,13,1804,858.1104948,1625122.194,-0.025272794,0.000306309,0.053600872,0.001779736,0.057708116,0.05437789,82,0.980862465
90,3030,25011805,2501,18,5,13,1805,811.0156862,1419235.064,-0.024221127,0.000223222,0.052796579,0.001729731,0.06377558,0.059708255,68,0.94480697
91,4001,25011901,2501,19,1,13,1901,1110.084278,1195242.138,-0.031340652,0.000247832,0.051519056,0.001570762,0.049923279,0.047430945,81,0.98228411
92,4002,25011902,2501,19,2,13,1902,917.2727156,1294801.839,-0.032625498,0.000292897,0.051808263,0.001864567,0.063938199,0.059850105,79,0.982247334
93,4003,25011903,2501,19,3,13,1903,764.3796622,1303422.164,-0.031492114,0.000253262,0.044686764,0.001483807,0.051338246,0.048702631,86,0.98691381
94,4004,25011904,2501,19,4,13,1904,698.2119979,1588969.157,-0.028129051,0.000246722,0.047498014,0.001766536,0.061933328,0.058097591,83,0.985273211
95,4005,25011905,2501,19,5,13,1905,893.1163421,876034.1972,-0.027346739,0.000256782,0.044680987,0.00129606,0.039971508,0.038373786,81,0.981792334
96,4006,25012001,2501,20,1,13,2001,1192.867267,1536242.38,-0.03434854,0.000553935,0.051183782,0.001635566,0.045688616,0.043601167,84,0.979696357
97,4007,25012002,2501,20,2,13,2002,1030.057708,1575297.937,-0.035418232,0.000434792,0.052620909,0.001572322,0.056847758,0.05361609,80,0.976816243
98,4008,25012003,2501,20,3,13,2003,913.8511929,1930356.381,-0.030311734,0.000364333,0.063331121,0.001903607,0.069532342,0.064697595,71,0.980443262
99,4009,25012004,2501,20,4,13,2004,731.6538155,2644848.469,-0.029585512,0.000356715,0.062809533,0.001992283,0.08444067,0.077310443,65,0.97411829
100,4010,25012005,2501,20,5,13,2005,985.1770535,1100640.295,-0.027818938,0.000282092,0.057383021,0.001541584,0.050079448,0.047571497,79,0.97475622
101,4011,25012101,2501,21,1,13,2101,960.2124742,1765769.53,-0.031856233,0.000299708,0.051652726,0.001848588,0.069984661,0.065086808,69,0.961341475
102,4012,25012102,2501,21,2,13,2102,1110.703323,904539.573,-0.035317132,0.000269211,0.045462769,0.001037694,0.032795419,0.03171988,77,0.966588896
103,4013,25012103,2501,21,3,13,2103,1003.731423,1138229.539,-0.032562406,0.000501228,0.05540413,0.001499397,0.052361903,0.049620134,81,0.97668696
104,4014,25012104,2501,21,4,13,2104,1036.220726,1178719.325,-0.030873476,0.00051973,0.056515736,0.001478887,0.047060436,0.044845751,70,0.971638962
105,4015,25012105,2501,21,5,13,2105,961.2945256,1221479.558,-0.029684109,0.000348025,0.057053476,0.001594893,0.063349408,0.059336261,73,0.977141816
106,4016,25012201,2501,22,1,13,2201,761.6073377,1263998.749,-0.023666768,0.000446722,0.050715225,0.001298498,0.0505795,0.048021214,77,0.974994077
107,4017,25012202,2501,22,2,13,2202,938.5681151,1149419.052,-0.026613848,0.00041528,0.058370957,0.001461398,0.05429331,0.051345546,83,0.982483002
108,4018,25012203,2501,22,3,13,2203,1042.805098,1645513.213,-0.028097283,0.000474621,0.065650688,0.001986691,0.068071579,0.063437839,64,0.963762304
109,4019,25012204,2501,22,4,13,2204,1163.791005,1696216.536,-0.029792511,0.000434236,0.059701372,0.00158269,0.049304262,0.046873352,81,0.976780214
110,4020,25012205,2501,22,5,13,2205,1185.697754,1240913.762,-0.02561147,0.000403671,0.065832287,0.001628383,0.050887379,0.048297854,86,0.979258557
111,4021,25012301,2501,23,1,13,2301,903.3865773,1287946,-0.026468063,0.000407595,0.049341267,0.001485272,0.041928147,0.040170177,80,0.976378814
112,4022,25012302,2501,23,2,13,2302,954.8099057,1190380.628,-0.026235873,0.000345225,0.05866951,0.001585076,0.055033557,0.052004865,80,0.976504684
113,4023,25012303,2501,23,3,13,2303,869.2639031,1287998.708,-0.025896452,0.000284548,0.056880397,0.001449287,0.058430352,0.055016246,79,0.976378814
114,4024,25012304,2501,23,4,13,2304,848.6215975,1422565.368,-0.023344837,0.000293348,0.054931372,0.001470408,0.05132278,0.048688753,69,0.963982356
115,4025,25012305,2501,23,5,13,2305,802.2341495,1053637.294,-0.021436593,0.000222175,0.050467096,0.001150654,0.043522323,0.04162813,79,0.974683775
116,4026,25012401,2501,24,1,13,2401,725.8893018,1218519.584,-0.026712022,0.00035736,0.046360211,0.001276411,0.040071213,0.038465511,83,0.981589836
117,4027,25012402,2501,24,2,13,2402,715.0431312,937975.2338,-0.032644575,0.00026577,0.04262407,0.000976783,0.033637385,0.032505911,96,0.988627044
118,4028,25012403,2501,24,3,13,2403,578.9486477,1208001.308,-0.035364331,0.00026835,0.044998645,0.001346608,0.051291887,0.048661029,77,0.979950788
119,4029,25012404,2501,24,4,13,2404,375.8129978,1722071.579,-0.034441265,0.000346798,0.044765421,0.001710446,0.068935284,0.064183211,76,0.981080145
120,4030,25012405,2501,24,5,13,2405,480.8087067,1013531.084,-0.031006186,0.000289456,0.036959229,0.001134497,0.045232877,0.043186864,74,0.972332592
121,1001,25020101,2502,1,1,13,101,1415.530892,929990.3868,-0.031648856,0.000434193,0.054377899,0.002197385,0.059297198,0.05578104,83,0.977746186
122,1002,25020102,2502,1,2,13,102,1434.370659,1134560.437,-0.032752813,0.000673291,0.061325182,0.002780376,0.071475554,0.066366799,69,0.965148919
123,1003,25020103,2502,1,3,13,103,1279.472043,701588.5386,-0.037779299,0.000301652,0.049823681,0.001919837,0.04812512,0.045809093,83,0.980862116
124,1004,25020104,2502,1,4,13,104,995.4886701,1154525.019,-0.038156131,0.000277844,0.048691125,0.00256089,0.053319451,0.050476487,73,0.966882951
125,1005,25020105,2502,1,5,13,105,982.9785977,1120810.543,-0.037160595,0.000279821,0.046200873,0.002266296,0.046108326,0.043982348,81,0.943822682
126,1007,25020201,2502,2,1,13,201,1092.103766,665645.5058,-0.022818749,0.000356757,0.064794465,0.001807114,0.049461836,0.047015362,84,0.982411373
127,1008,25020202,2502,2,2,13,202,1243.92279,546428.4783,-0.024307501,0.00048246,0.063501083,0.00147397,0.033143421,0.032044934,89,0.983578172
128,1009,25020203,2502,2,3,13,203,1065.338768,543031.6636,-0.030122006,0.000261284,0.055516326,0.001469826,0.036934543,0.035570382,73,0.970000182
129,1010,25020204,2502,2,4,13,204,882.2235584,1125277.702,-0.02815565,0.000351582,0.061324445,0.00235771,0.064374743,0.060230636,116,0.982776846
130,1011,25020205,2502,2,5,13,205,978.6226597,1360663.058,-0.025517011,0.000391844,0.064117424,0.002405444,0.057334612,0.054047354,167,0.994386323
131,1013,25020301,2502,3,1,13,301,874.2292909,782253.2551,-0.033269676,0.000283538,0.028461034,0.001502929,0.036003946,0.034707662,77,0.967517909
132,1014,25020302,2502,3,2,13,302,845.8475723,880014.9359,-0.038013871,0.000403026,0.021825159,0.001944548,0.039534247,0.03797129,84,0.978620639
133,1015,25020303,2502,3,3,13,303,886.1033069,533737.9334,-0.042107593,0.00027862,0.022928109,0.001479048,0.035316036,0.034068814,90,0.987551262
134,1016,25020304,2502,3,4,13,304,1150.234148,625786.7718,-0.036371366,0.000592785,0.045861554,0.001699778,0.031825153,0.030812313,81,0.948675889
135,1017,25020305,2502,3,5,13,305,1114.998242,848752.4264,-0.033195574,0.000599893,0.055936709,0.00216315,0.052831946,0.050040731,91,0.97960374
136,1019,25020401,2502,4,1,13,401,850.485745,889948.8534,-0.033325349,0.000287573,0.046224385,0.002181286,0.058061512,0.054690373,77,0.94885908
137,1020,25020402,2502,4,2,13,402,860.5058571,842202.2782,-0.040980362,0.00045804,0.034833584,0.00176032,0.040345347,0.0387176,83,0.954995352
138,1021,25020403,2502,4,3,13,403,1023.711494,676452.6157,-0.041414975,0.000527572,0.043968268,0.001883207,0.047980282,0.045678175,85,0.983065986
139,1022,25020404,2502,4,4,13,404,1357.118741,1043331.377,-0.035670105,0.000702738,0.066044712,0.001861956,0.053900748,0.050995457,95,0.957387089
140,1023,25020405,2502,4,5,13,405,1555.668779,1027595.16,-0.032501387,0.000539206,0.069069299,0.001609052,0.036121465,0.034816704,96,0.981682979
141,1025,25020501,2502,5,1,13,501,1014.966874,863916.7476,-0.029417352,0.000304998,0.052548316,0.002067939,0.057693888,0.054365303,76,0.952977199
142,1026,25020502,2502,5,2,13,502,1179.229684,823776.9184,-0.030757467,0.000432173,0.05682834,0.001700617,0.043931966,0.042001948,76,0.952666497
143,1027,25020503,2502,5,3,13,503,1269.709154,608520.3784,-0.032724466,0.000395957,0.060058139,0.001584353,0.044907801,0.04289109,67,0.941657857
144,1028,25020504,2502,5,4,13,504,1446.937716,1013058.187,-0.03122857,0.000475678,0.065918845,0.001742747,0.040725221,0.039066678,81,0.929372095
145,1029,25020505,2502,5,5,13,505,1471.445824,1278042.429,-0.028627667,0.000428604,0.06978597,0.002012099,0.048924805,0.046531168,79,0.959682858
146,1031,25020601,2502,6,1,13,601,1002.470064,564987.4934,-0.03135949,0.000251201,0.044227731,0.001242146,0.02935292,0.028491326,79,0.956471811
147,1032,25020602,2502,6,2,13,602,1026.914672,762820.7121,-0.03074994,0.000378066,0.059469831,0.001650341,0.049088667,0.046678969,78,0.962525518
148,1033,25020603,2502,6,3,13,603,1214.119488,459129.9922,-0.034014131,0.000371001,0.05672407,0.001092414,0.027891175,0.027113257,76,0.971965513
149,1034,25020604,2502,6,4,13,604,1357.368467,873346.3043,-0.029992571,0.000558365,0.073432947,0.002147736,0.061969207,0.058129025,71,0.936883737
150,1035,25020605,2502,6,5,13,605,1455.706461,959988.9543,-0.027779571,0.000430585,0.074633106,0.002058454,0.059574701,0.056025556,71,0.964368382
151,1037,25020701,2502,7,1,13,701,824.2205227,935026.8504,-0.036067911,0.000303798,0.039775418,0.002638826,0.060335379,0.056695021,73,0.926451825
152,1038,25020702,2502,7,2,13,702,831.0388703,1064210.759,-0.038254059,0.00048153,0.035782386,0.002716465,0.050156139,0.0476405,78,0.961743853
153,1039,25020703,2502,7,3,13,703,868.5157171,713323.3251,-0.038005299,0.00046224,0.042722739,0.002246443,0.058181918,0.054796782,72,0.970619327
154,1040,25020704,2502,7,4,13,704,1225.421473,661757.7982,-0.033940489,0.000502391,0.057228595,0.001877849,0.042584676,0.040771221,78,0.955346565
155,1041,25020705,2502,7,5,13,705,1222.860581,975947.0954,-0.030299671,0.000445721,0.069484599,0.002419798,0.071882708,0.066715584,71,0.968378078
156,1043,25020801,2502,8,1,13,801,885.4018858,700621.222,-0.030435891,0.000273184,0.03809156,0.001631382,0.032559542,0.031499418,79,0.946597164
157,1044,25020802,2502,8,2,13,802,744.9903848,848221.7151,-0.035157417,0.000337436,0.033047507,0.001900761,0.039967128,0.038369756,75,0.959533358
158,1045,25020803,2502,8,3,13,803,855.4842016,640132.471,-0.035406932,0.00035393,0.040237601,0.001600351,0.041881373,0.040127323,84,0.962906254
159,1046,25020804,2502,8,4,13,804,1126.864198,943418.1374,-0.031315639,0.000693112,0.060324344,0.002147222,0.05827742,0.054881163,77,0.944373565
160,1047,25020805,2502,8,5,13,805,1336.205379,800071.0433,-0.029673863,0.00054956,0.062859785,0.001781488,0.043739045,0.041825941,74,0.950878536
161,1049,25020901,2502,9,1,13,901,781.5271836,938349.1758,-0.029495365,0.000360964,0.047138608,0.001652266,0.047808219,0.045522593,66,0.942771743
162,1050,25020902,2502,9,2,13,902,796.017953,1176896.11,-0.031446507,0.000537558,0.058736576,0.00205473,0.065817235,0.061485327,78,0.911312811
163,1051,25020903,2502,9,3,13,903,1029.340621,660174.4732,-0.03392693,0.000419831,0.059049801,0.001624275,0.047410369,0.045162626,74,0.965185374
164,1052,25020904,2502,9,4,13,904,1213.488439,501444.4928,-0.032602426,0.000417667,0.06172853,0.00176109,0.040700063,0.039043568,88,0.939526491
165,1053,25020905,2502,9,5,13,905,1391.973122,587815.3354,-0.029387665,0.000343551,0.064271663,0.00161377,0.028741301,0.027915239,83,0.955000273
166,1055,25021001,2502,10,1,13,1001,914.6940408,928340.7944,-0.025925305,0.000568967,0.056817454,0.001744209,0.052031986,0.049324658,83,0.983688124
167,1056,25021002,2502,10,2,13,1002,1034.333306,939845.3065,-0.026507798,0.000796253,0.062453901,0.001664668,0.050338236,0.047804298,82,0.919276054
168,1057,25021003,2502,10,3,13,1003,1107.061277,606415.0502,-0.030981699,0.000622015,0.062829149,0.001805558,0.055643836,0.052547599,74,0.960864731
169,1058,25021004,2502,10,4,13,1004,1254.601956,533755.9144,-0.031658305,0.000520721,0.065781741,0.001695058,0.045917808,0.043809363,76,0.929338218
170,1059,25021005,2502,10,5,13,1005,1285.549855,657033.8006,-0.031292693,0.000488722,0.065828529,0.001750526,0.04509342,0.043060003,81,0.95496218
171,1061,25021101,2502,11,1,13,1101,1026.554089,641132.5989,-0.026839258,0.000260443,0.053869443,0.001441581,0.033173538,0.032073054,81,0.945334573
172,1062,25021102,2502,11,2,13,1102,1020.812497,966137.8804,-0.027384783,0.000463802,0.061122408,0.002200545,0.054155481,0.051222665,78,0.931633434
173,1063,25021103,2502,11,3,13,1103,1255.707577,456842.0748,-0.031282954,0.000363965,0.060715359,0.001506044,0.031978736,0.030956096,84,0.977889575
174,1064,25021104,2502,11,4,13,1104,1407.955115,349237.6931,-0.031502574,0.000335192,0.065751686,0.001517857,0.030714012,0.029770661,76,0.95625786
175,1065,25021105,2502,11,5,13,1105,1496.504427,531150.1962,-0.030378976,0.000252157,0.066361675,0.00132852,0.025997151,0.025321299,72,0.955068263
176,1067,25021201,2502,12,1,13,1201,1018.282954,776845.4218,-0.025930681,0.000277154,0.066926748,0.002079738,0.059722755,0.056155947,72,0.949399391
177,1068,25021202,2502,12,2,13,1202,1017.900392,648841.0327,-0.029898331,0.000355208,0.063209707,0.002063331,0.052647437,0.049875685,82,0.932782911
