fid,id,Trial,Row,Column,MasonPlot#,layer,path,620ExG_mean,Exg_Var,620ExR_mean,620ExR_variance,620NDVI_mean,620NDVI_variance,620gNDVI_mean,620gNDVI_variance,620NDRE_mean,620NDRE_variance,620THRESH_mean,620THRESH_variance,620PLT
40,2010,2501,8,5,805,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,9.537023803,,38.99712495,325.6019256,0.180941026,0.0190325,0.03172766,0.005598292,-0.017532254,0.001611411,0.177780221,0.146174414,24
41,2011,2501,9,1,901,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,12.24826828,,40.68787246,176.420918,0.194317607,0.012557944,0.049998785,0.003582734,-0.030083644,0.001595449,0.153023639,0.129607405,39
42,2012,2501,9,2,902,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,12.79945561,,42.86031178,212.7575841,0.187787812,0.013029242,0.042632978,0.003422417,-0.031517023,0.001304949,0.158587886,0.133437768,33
43,2013,2501,9,3,903,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,13.05305696,,42.13077303,173.8745837,0.172223518,0.013392937,0.024813143,0.003099921,-0.031944195,0.001137079,0.151583462,0.128605916,28
44,2014,2501,9,4,904,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,13.41137188,,40.72515114,245.0562155,0.175936011,0.016610223,0.023028326,0.004392116,-0.030777892,0.001451022,0.165301748,0.13797708,32
45,2015,2501,9,5,905,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,11.852194,,41.42143407,205.7379831,0.167880185,0.012473991,0.023060411,0.003378107,-0.032375283,0.001071369,0.140877598,0.1210311,35
46,2016,2501,10,1,1001,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,15.19761944,,45.96975094,184.1950035,0.188158664,0.011028401,0.049971385,0.002761973,-0.029831646,0.000854263,0.132167794,0.114699468,27
47,2017,2501,10,2,1002,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,15.57799274,,43.58784214,201.8834906,0.202254907,0.01323769,0.05957476,0.003091149,-0.030197516,0.001005808,0.171347697,0.141987664,25
48,2018,2501,10,3,1003,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,15.09128152,,45.71430535,154.2694304,0.177874761,0.009369965,0.046632678,0.002644124,-0.032926558,0.000843818,0.119215859,0.105003438,41
49,2019,2501,10,4,1004,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,15.61968231,,42.70596351,269.6035732,0.203920247,0.015644757,0.059524261,0.00392902,-0.030912816,0.000991034,0.178630318,0.146721527,26
