fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row,joined_col,joined_Plo,joined_P_1,NDVI_mean,SAVI_mean,Thresh_mea,HArea_mean,PLTCOUNT
1565,2024-06-04,02:34:09pm,4.710000000000000,905,D-1,45.432825549999997,-73.93912752,39.020000000000003,0,0,,1,50093c313a5b4233,5,0,106,106,0.289748894,0.579471312,0.134056881,0.995473744,175.000000000000000
1566,2024-06-04,02:35:04pm,4.710000000000000,905,U-1,45.432800960000002,-73.93911093,39.020000000000003,0,0,,1,50093c68674bddc2,6,0,107,107,0.289152671,0.578279342,0.136265139,0.986605439,137.000000000000000
1567,2024-06-04,02:35:17pm,4.710000000000000,905,U1,45.432827260000003,-73.93902964,39.020000000000003,0,0,,1,50093c751594fd99,6,1,114,114,0.260195324,0.520368461,0.091071483,0.986355263,90.000000000000000
1568,2024-06-04,02:35:30pm,4.710000000000000,905,U3,45.432854650000003,-73.93894913,39.020000000000003,0,0,,1,50093c8200f4da49,6,2,207,207,0.355845855,0.711661243,0.254821917,0.982223684,133.000000000000000
1569,2024-06-04,02:35:42pm,4.710000000000000,905,U5,45.432881389999999,-73.93886804,39.020000000000003,0,0,,1,50093c8e6f31b554,6,3,214,214,0.370732125,0.741432704,0.302200669,0.964539474,95.000000000000000
1570,2024-06-04,02:35:55pm,4.710000000000000,905,U7,45.432908560000001,-73.93878739,39.018999999999998,0,0,,1,50093c9b5b838619,6,4,307,307,0.364874237,0.729717016,0.293855126,0.98603929,143.000000000000000
1571,2024-06-04,02:36:07pm,4.710000000000000,905,U9,45.432935510000000,-73.93870658,39.018999999999998,0,0,,1,50093ca71aaea32f,6,5,314,314,0.301313307,0.602599772,0.178534597,0.988605113,121.000000000000000
1572,2024-06-04,02:36:20pm,4.710000000000000,905,U11,45.432962220000000,-73.93862553,39.018999999999998,0,0,,1,50093cb463aa4ae6,6,6,407,407,0.352179887,0.704328811,0.258254811,0.692819831,44.000000000000000
1573,2024-06-04,02:36:33pm,4.710000000000000,905,U13,45.432989100000000,-73.93854462,39.018999999999998,0,0,,1,50093cc1072c464e,6,7,414,414,0.25888628,0.517750507,0.091784118,0.705132535,66.000000000000000
77777,2025-04-24,,,,,,,,,,,,,,,,,0.130018526,0.260020226,0,,0
