fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row,joined_col,joined_Plo,joined_P_1,NDVI_mean,SAVI_mean,THRESH_mea,HArea_mean,PLTCOUNT,6-28SAVI_m
1528,2024/06/04,02:18:57pm,4.710000000000000,"905",D9,45.433059489999998,-73.938789830000005,39.021000000000001,"0","0",,"1",500938a125f6843f,1,5,"309","309",0.326232269455164,70374.876909113459988,0.234305825813276,0.894236842105263,41.000000000000000,0.652916781066703
1529,2024/06/04,02:19:09pm,4.710000000000000,"905",D7,45.433032410000003,-73.938870609999995,39.021000000000001,"0","0",,"1",500938ad2f841179,1,4,"302","302",0.331645832098070,65531.926007182497415,0.220097943192948,0.928421052631579,45.000000000000000,0.663233408385241
1530,2024/06/04,02:19:22pm,4.710000000000000,"905",D5,45.433005639999998,-73.938951599999996,39.021000000000001,"0","0",,"1",500938ba669012e1,1,3,"209","209",0.303868055346106,66464.778000509308185,0.166499072792332,0.951276956882146,50.000000000000000,0.607813707252109
1531,2024/06/04,02:19:34pm,4.710000000000000,"905",D3,45.432978560000002,-73.939032299999994,39.021000000000001,"0","0",,"1",500938c669fc4194,1,2,"202","202",0.268653289329006,61992.421155729680322,0.075905974534770,0.995644794147445,94.000000000000000,0.537459107457677
1532,2024/06/04,02:19:47pm,4.710000000000000,"905",D1,45.432951600000003,-73.939113210000002,39.021000000000001,"0","0",,"1",500938d31d4cc688,1,1,"109","109",0.290414249224889,67699.044610442186240,0.128346436127145,0.945828947368421,59.000000000000000,0.580731335304267
1533,2024/06/04,02:20:00pm,4.710000000000000,"905",D-1,45.432924700000001,-73.939194060000005,39.021000000000001,"0","0",,"1",500938e02a9ec38d,1,0,"102","102",0.283110110058674,63717.121207174619485,0.096336295551449,0.987618746875082,109.000000000000000,0.566674267763544
1534,2024/06/04,02:20:58pm,4.710000000000000,"905",U-1,45.432900410000002,-73.939177689999994,39.021000000000001,"0","0",,"1",5009391a2cd19750,2,0,"103","103",0.284777363511468,65577.149101213828544,0.117152352906609,0.980092367205695,69.000000000000000,0.569518941248488
1535,2024/06/04,02:21:11pm,4.710000000000000,"905",U1,45.432926389999999,-73.939096210000002,39.021000000000001,"0","0",,"1",500939272161cf8e,2,1,"110","110",0.248414443852523,63246.419800325165852,0.060842708734631,0.979881578947368,62.000000000000000,0.497095811946939
1536,2024/06/04,02:21:23pm,4.710000000000000,"905",U3,45.432953769999997,-73.939015569999995,39.021000000000001,"0","0",,"1",500939332035b4b3,2,2,"203","203",0.268687274889763,61150.406897857639706,0.096827272786633,0.990368167583357,98.000000000000000,0.536981549109791
1537,2024/06/04,02:21:51pm,4.710000000000000,"905",U5,45.432980710000002,-73.938934779999997,39.020000000000003,"0","0",,"1",5009394f377e7978,2,3,"210","210",0.348380534343393,67838.504730625325465,0.264013947019608,0.678464757042671,24.000000000000000,0.696690355874154
1538,2024/06/04,02:22:04pm,4.710000000000000,"905",U7,45.433007439999997,-73.938853750000007,39.020000000000003,"0","0",,"1",5009395c17548ec5,2,4,"303","303",0.317629075434256,65682.015879752667388,0.209629711853008,0.945947368421053,50.000000000000000,0.635102996648646
1539,2024/06/04,02:22:17pm,4.710000000000000,"905",U9,45.433034630000002,-73.938773080000004,39.020000000000003,"0","0",,"1",500939696854b105,2,5,"310","310",0.302529349559004,67378.327519898666651,0.202153430274696,0.875394736842105,37.000000000000000,0.604743633302002
1540,2024/06/04,02:22:29pm,4.710000000000000,"905",U11,45.433061469999998,-73.938692149999994,39.020000000000003,"0","0",,"1",5009397538f822dd,2,6,"403","403",0.330527922531416,66034.525968005225877,0.221769507019262,0.911550303955367,38.000000000000000,0.661058160406349
1541,2024/06/04,02:22:42pm,4.710000000000000,"905",U13,45.433088439999999,-73.938611300000005,39.020000000000003,"0","0",,"1",50093982458e6078,2,7,"410","410",0.349578390161820,67783.808434922859306,0.248183141907554,0.782789473684210,26.000000000000000,0.698675501906478
1542,2024/06/04,02:27:37pm,4.710000000000000,"905",D13,45.433062790000001,-73.938594179999996,39.020000000000003,"0","0",,"1",50093aa91c5e3ec4,3,7,"411","411",0.316667407571386,68889.642992863256950,0.205757716240834,0.812094577702925,40.000000000000000,0.633227766669852
1543,2024/06/04,02:27:50pm,4.710000000000000,"905",D11,45.433036340000001,-73.938675329999995,39.020000000000003,"0","0",,"1",50093ab67d023af4,3,6,"404","404",0.248726729783979,63098.091284247915610,0.094477237704704,0.578744457163910,23.000000000000000,0.497604400299435
1544,2024/06/04,02:28:09pm,4.710000000000000,"905",D9,45.433010189999997,-73.938756760000004,39.020000000000003,"0","0",,"1",50093ac93b20d3c3,3,5,"311","311",0.275167354801374,63798.569171199284028,0.155815578293035,0.926144736842105,63.000000000000000,0.550422266214008
1545,2024/06/04,02:28:21pm,4.710000000000000,"905",D7,45.432982809999999,-73.938837340000006,39.020000000000003,"0","0",,"1",50093ad5406f8ce0,3,4,"304","304",0.288363080843298,63889.855642907517904,0.180100295139342,0.700096051367745,31.000000000000000,0.576818057488536
1546,2024/06/04,02:28:34pm,4.710000000000000,"905",D5,45.432955980000003,-73.938918240000007,39.020000000000003,"0","0",,"1",50093ae27784cc33,3,3,"211","211",0.320046022936772,67388.645545899140416,0.219430496699336,0.912489145022499,37.000000000000000,0.640464802977252
1547,2024/06/04,02:28:47pm,4.710000000000000,"905",D3,45.432928949999997,-73.938999030000005,39.020000000000003,"0","0",,"1",50093aef17380c91,3,2,"204","204",0.260446252136891,64232.882578404038213,0.104532187608146,0.955223095040724,56.000000000000000,0.521288327814701
1548,2024/06/04,02:28:59pm,4.710000000000000,"905",D1,45.432901870000002,-73.939079800000002,39.020000000000003,"0","0",,"1",50093afb12549ffc,3,1,"111","111",0.262182245513007,63119.371518119492976,0.082592229840026,0.964631578947368,81.000000000000000,0.524160547583278
1549,2024/06/04,02:29:12pm,4.710000000000000,"905",D-1,45.432875099999997,-73.939160810000004,39.021000000000001,"0","0",,"1",50093b08785a7bd0,3,0,"104","104",0.296025512250803,64944.154045053866867,0.128756121449559,0.981473440440006,71.000000000000000,0.592126797556832
1550,2024/06/04,02:30:00pm,4.710000000000000,"905",U-1,45.432850459999997,-73.939144119999995,39.020000000000003,"0","0",,"1",50093b3805b857f6,4,0,"105","105",0.260620464793459,65359.627763630429399,0.069879659677830,0.981447368421053,76.000000000000000,0.521281819388417
1551,2024/06/04,02:30:13pm,4.710000000000000,"905",U1,45.432876950000001,-73.939062980000003,39.020000000000003,"0","0",,"1",50093b45131a1f8a,4,1,"112","112",0.246338914671929,62528.501609522638319,0.051400587659158,0.997263121883183,106.000000000000000,0.492310314259661
1552,2024/06/04,02:30:25pm,4.710000000000000,"905",U3,45.432904160000000,-73.938982359999997,39.020000000000003,"0","0",,"1",50093b5177614e40,4,2,"205","205",0.250373181503497,61250.559418094439025,0.078418825741747,0.981841627411248,74.000000000000000,0.500794118645563
1553,2024/06/04,02:30:38pm,4.710000000000000,"905",U5,45.432931040000000,-73.938901340000001,39.020000000000003,"0","0",,"1",50093b5e4c336168,4,3,"212","212",0.275630386704242,64730.952164544563857,0.134430297094352,0.955591520941065,54.000000000000000,0.551261979342073
1554,2024/06/04,02:30:51pm,4.710000000000000,"905",U7,45.432958130000003,-73.938820660000005,39.020000000000003,"0","0",,"1",50093b6b45d1b542,4,4,"305","305",0.296523666422591,64030.913123820595501,0.181359329803002,0.978092681771532,64.000000000000000,0.592868535349465
1555,2024/06/04,02:31:03pm,4.710000000000000,"905",U9,45.432985029999998,-73.938739760000004,39.020000000000003,"0","0",,"1",50093b771410315b,4,5,"312","312",0.359879356950865,68376.560139992550830,0.301571651507336,0.847697368421053,30.000000000000000,0.719932176652392
1556,2024/06/04,02:31:16pm,4.710000000000000,"905",U11,45.433011999999998,-73.938658930000003,39.020000000000003,"0","0",,"1",50093b8410c2a505,4,6,"405","405",0.290189703453784,66200.873978112678742,0.158291326037558,0.917525230595139,42.000000000000000,0.580027670316576
1557,2024/06/04,02:31:29pm,4.710000000000000,"905",U13,45.433038779999997,-73.938577969999997,39.020000000000003,"0","0",,"1",50093b9138442333,4,7,"412","412",0.268494141942074,65300.964008671347983,0.118571577820148,0.928355263157895,44.000000000000000,0.537283527639203
1558,2024/06/04,02:32:41pm,4.710000000000000,"905",D13,45.433013350000003,-73.938561010000001,39.018999999999998,"0","0",,"1",50093bd918887c7b,5,7,"413","413",0.329822540177003,69461.115258044301299,0.222981090681153,0.894592105263158,34.000000000000000,0.659184788635478
1559,2024/06/04,02:32:54pm,4.710000000000000,"905",D11,45.432986759999999,-73.938642099999996,39.018999999999998,"0","0",,"1",50093be6278a06c1,5,6,"406","406",0.349183823594139,70616.584786157356575,0.257592279414165,0.611034355715207,18.000000000000000,0.698340052285158
1560,2024/06/04,02:33:06pm,4.710000000000000,"905",D9,45.432960379999997,-73.938723330000002,39.020000000000003,"0","0",,"1",50093bf2355ce56d,5,5,"313","313",0.341039091115969,68897.566832733704359,0.260122362896749,0.900606570966171,37.000000000000000,0.681838833051546
1561,2024/06/04,02:33:19pm,4.710000000000000,"905",D7,45.432933179999999,-73.938804039999994,39.020000000000003,"0","0",,"1",50093bff4709aa8e,5,4,"306","306",0.362860836927905,69442.964322093655937,0.283026875963121,0.912801484230056,48.000000000000000,0.725646182470193
