Trial,DAS,Variable,Yield_r,Yield_p,PeakStand_r,PeakStand_p
24111,8,ExR,0.0771432716,0.7464958759,0.2542383126,0.2793961637
24111,8,GNDVI,-0.144768183,0.5425524822,-0.020610774,0.9312694164
24111,8,HA,0.2823702792,0.2277306745,-0.028371355,0.9054860341
24111,8,NDRE,-0.158783685,0.503724403,-0.124303983,0.6015710859
24111,8,NDVI,-0.067861712,0.7762011633,0.0445726305,0.8519806635
24111,8,PlantCount,0.2505513833,0.2866659326,-0.012298897,0.958957051
24111,8,SAVI,-0.06785131,0.776234632,0.0445929633,0.851913855
24111,8,Thresh,0.1633838667,0.4912799501,0.0278212361,0.9073110244
24111,13,ExG,0.5086376435,0.0220128512,0.3581137233,0.1210571049
24111,13,ExR,-0.332215384,0.1524099545,-0.302056681,0.1955463825
24111,13,GNDVI,0.3429588573,0.1387851836,0.449770726,0.0466215738
24111,13,HA,0.4173784559,0.0671015818,0.8081502697,0.000016279
24111,13,NDRE,0.2245058642,0.3413016947,0.5234852309,0.017847855
24111,13,NDVI,0.4694545941,0.0367680618,0.4962454906,0.0260497643
24111,13,PlantCount,0.0952469253,0.6895688141,0.4419003282,0.0510849156
24111,13,SAVI,0.4336608309,0.0561001622,0.4855832155,0.0299716522
24111,13,Thresh,0.4881280847,0.0289960156,0.4455757887,0.0489616068
24111,23,ExG,0.50660966,0.0226370733,0.7573039031,0.0001104621
24111,23,ExR,-0.440108914,0.0521449867,-0.63007729,0.0029048282
24111,23,GNDVI,0.5897927199,0.0061984438,0.6889733391,0.0007803219
24111,23,HA,0.0116179271,0.9612278501,0.0943129465,0.6924697113
24111,23,NDRE,0.5754796062,0.0079322669,0.513610365,0.0205399605
24111,23,NDVI,0.5872849883,0.0064773511,0.73479365,0.0002241822
24111,23,PlantCount,0.0859226969,0.7187102661,-0.156145282,0.5109297434
24111,23,SAVI,0.582260159,0.0070672293,0.7781442627,0.0000534956
24111,23,Thresh,0.5543006039,0.0112069912,0.7290345629,0.0002657366
24111,27,ExG,0.5167905814,0.0196398856,0.6429731044,0.0022289587
24111,27,ExR,-0.558587464,0.0104684359,-0.610409347,0.0042581492
24111,27,GNDVI,0.6344013438,0.0026614359,0.6732778005,0.0011388799
24111,27,HA,0.3564198196,0.1229538327,0.6582638147,0.0016028698
24111,27,NDRE,0.5204795697,0.0186355008,0.4850792574,0.0301678759
24111,27,NDVI,0.6067051377,0.0045637307,0.6740328683,0.0011189146
24111,27,PlantCount,0.2227826114,0.3451178311,0.2295389197,0.3302981497
24111,27,SAVI,0.6067055618,0.0045636947,0.6740326684,0.0011189198
24111,27,Thresh,0.5829816757,0.0069799209,0.654653539,0.0017354346
24111,35,ExG,0.4853885327,0.0300473358,0.8615761826,1.0605735E-6
24111,35,ExR,-0.63966144,0.0023884971,-0.908523615,3.0444477E-8
24111,35,GNDVI,0.616326837,0.003805194,0.8611795042,1.0865949E-6
24111,35,HA,-0.062562249,0.7932999469,-0.063492826,0.7902906116
24111,35,NDRE,0.3243728866,0.1629247996,0.4178266658,0.0667785683
24111,35,NDVI,0.6058467793,0.0046370663,0.8787650683,3.4331947E-7
24111,35,PlantCount,0.0017877598,0.9940316676,-0.228221271,0.333158362
24111,35,SAVI,,,,
24111,35,Thresh,0.5911207951,0.0060547797,0.8861179974,2.01016E-7
24111,40,ExG,0.5061680971,0.0227748313,0.8965713732,8.7905909E-8
24111,40,ExR,-0.467866135,0.0374973094,-0.770100018,0.0000713943
24111,40,GNDVI,0.589572412,0.006222544,0.9315381679,2.4433525E-9
24111,40,HA,0.3707908616,0.1075213572,0.6548064922,0.0017296377
24111,40,NDRE,0.2500496693,0.2876641307,0.3707917567,0.1075204419
24111,40,NDVI,0.5885146174,0.0063393339,0.9838935515,6.53546E-15
24111,40,PlantCount,0.3210860616,0.1674766919,0.5343988352,0.0152087833
24111,40,SAVI,0.5882698533,0.0063666127,0.9838119743,6.837457E-15
24111,40,Thresh,0.6199511502,0.0035480422,1,0
24112,8,ExG,0.3489686589,0.1852530622,0.4761316918,0.0622714311
24112,8,ExR,0.0917725101,0.7353429364,-0.078106174,0.7737138069
24112,8,GNDVI,-0.144988273,0.592128918,0.1227386812,0.6506578571
