fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row,joined_col,joined_Plo,joined_P_1,628NDVI_me,SAVI_mean,THRESH_mea,HArea_mean,PLTCOUNT,6-28SAVI_m,628NDVIvariance,628gNDVI_mean,628gNDVI_variance,628gNDRE_mean,628gNDRE_variance,628gExG_mean,628gExG_variance,628gExR_mean,628gExR_variance
"1531",2024/06/04,02:19:34pm,4.71,"905",D3,45.43297856,-73.9390323,39.021,"0","0",,"1",500938c669fc4194,1,2,"202","202",0.268653289329006,61992.4211557297,0.07590597453477,0.995644794147445,94,0.537459107457677,0.0149830030803414,0.0775757431936766,0.00991595322843617,-0.0245830732703403,0.00189661993703157,2108.81455435847,15925207.7796418,15193.8027965391,37799494.0856489
"1532",2024/06/04,02:19:47pm,4.71,"905",D1,45.4329516,-73.93911321,39.021,"0","0",,"1",500938d31d4cc688,1,1,"109","109",0.290414249224889,67699.0446104422,0.128346436127145,0.945828947368421,59,0.580731335304267,0.0222561044173125,0.0797610508411,0.00952254319271944,-0.0259810556833173,0.00220852035925268,3642.11339358007,49164069.7181872,15338.7057725065,44886073.184302
"1533",2024/06/04,02:20:00pm,4.71,"905",D-1,45.4329247,-73.93919406,39.021,"0","0",,"1",500938e02a9ec38d,1,0,"102","102",0.283110110058674,63717.1212071746,0.096336295551449,0.987618746875082,109,0.566674267763544,0.0167615623906498,0.0846985764100755,0.00973185476605971,-0.0244006058905578,0.00183288652334959,2597.23258091687,15948422.5300356,15484.4612129763,37658265.5622396
"1534",2024/06/04,02:20:58pm,4.71,"905",U-1,45.43290041,-73.93917769,39.021,"0","0",,"1",5009391a2cd19750,2,0,"103","103",0.284777363511468,65577.1491012138,0.117152352906609,0.980092367205695,69,0.569518941248488,0.0197434127063697,0.0760539598794116,0.00929346726683508,-0.0284544530018682,0.00195747436433316,3433.98009154364,38503763.0448664,15764.9184052641,40640195.3179363
"1535",2024/06/04,02:21:11pm,4.71,"905",U1,45.43292639,-73.93909621,39.021,"0","0",,"1",500939272161cf8e,2,1,"110","110",0.248414443852523,63246.4198003252,0.060842708734631,0.979881578947368,62,0.497095811946939,0.0124648510179958,0.0532092031781101,0.00656678488708731,-0.0317500582296647,0.0017438326487198,2580.39694023467,16248649.970856,16226.4521147099,35334623.4531142
"1536",2024/06/04,02:21:23pm,4.71,"905",U3,45.43295377,-73.93901557,39.021,"0","0",,"1",500939332035b4b3,2,2,"203","203",0.268687274889763,61150.4068978576,0.096827272786633,0.990368167583357,98,0.536981549109791,0.0195769789525722,0.0755325074633183,0.0113035742611661,-0.0261418243450558,0.0018956003911537,2351.34866698444,17398628.7084724,15007.0019095197,40718857.9913102
"1537",2024/06/04,02:21:51pm,4.71,"905",U5,45.43298071,-73.93893478,39.02,"0","0",,"1",5009394f377e7978,2,3,"210","210",0.348380534343393,67838.5047306253,0.264013947019608,0.678464757042671,24,0.696690355874154,0.0465273823042438,0.111429503511639,0.0169190978620399,-0.0237894526393169,0.00297580960103098,6399.57551697344,97238881.82185,12553.7384860349,65952891.0886837
"1538",2024/06/04,02:22:04pm,4.71,"905",U7,45.43300744,-73.93885375,39.02,"0","0",,"1",5009395c17548ec5,2,4,"303","303",0.317629075434256,65682.0158797527,0.209629711853008,0.945947368421053,50,0.635102996648646,0.0418252569353415,0.105006208644318,0.0170422289285244,-0.0233578993585218,0.00283761201065611,5242.34522138282,74147065.0668211,13028.296635793,57722730.0574114
"1539",2024/06/04,02:22:17pm,4.71,"905",U9,45.43303463,-73.93877308,39.02,"0","0",,"1",500939696854b105,2,5,"310","310",0.302529349559004,67378.3275198987,0.202153430274696,0.875394736842105,37,0.604743633302002,0.0382423311864972,0.0962638302322008,0.014712845669684,-0.0277315325047195,0.00301003135386222,5290.60388766642,74391226.4091839,13622.1405323186,58381566.8464516
"1540",2024/06/04,02:22:29pm,4.71,"905",U11,45.43306147,-73.93869215,39.02,"0","0",,"1",5009397538f822dd,2,6,"403","403",0.330527922531416,66034.5259680052,0.221769507019262,0.911550303955367,38,0.661058160406349,0.0367190435534614,0.110023723363088,0.0143082316648752,-0.0245937642808278,0.00338213651911458,5896.38358472086,87868330.5224667,12449.7019195733,46571838.9139991
"1541",2024/06/04,02:22:42pm,4.71,"905",U13,45.43308844,-73.9386113,39.02,"0","0",,"1",50093982458e6078,2,7,"410","410",0.34957839016182,67783.8084349229,0.248183141907554,0.78278947368421,26,0.698675501906478,0.04306219567214,0.115848403823524,0.0151711337993191,-0.0233153535907995,0.00307679841049122,6970.49547173015,126755355.909578,12384.6898167509,60301997.8257035
"1542",2024/06/04,02:27:37pm,4.71,"905",D13,45.43306279,-73.93859418,39.02,"0","0",,"1",50093aa91c5e3ec4,3,7,"411","411",0.316667407571386,68889.6429928633,0.205757716240834,0.812094577702925,40,0.633227766669852,0.0343534647863114,0.0978207660511774,0.0126627888085855,-0.0268305678982726,0.00308657569399296,5713.78632199594,99875944.746219,13747.0441340887,56068080.1546749
"1543",2024/06/04,02:27:50pm,4.71,"905",D11,45.43303634,-73.93867533,39.02,"0","0",,"1",50093ab67d023af4,3,6,"404","404",0.248726729783979,63098.0912842479,0.094477237704704,0.57874445716391,23,0.497604400299435,0.0219383443901176,0.0616602887872956,0.0106360354844956,-0.0307327355053792,0.00199854075985259,2924.36131062763,39352060.0902608,14616.9894886938,38101807.9127139
"1544",2024/06/04,02:28:09pm,4.71,"905",D9,45.43301019,-73.93875676,39.02,"0","0",,"1",50093ac93b20d3c3,3,5,"311","311",0.275167354801374,63798.5691711993,0.155815578293035,0.926144736842105,63,0.550422266214008,0.0316110274983482,0.0769315979922397,0.0118931981946666,-0.0282901631097665,0.00243902995270113,4190.1766841442,59855172.1483006,13822.7446951146,49383776.7256942
"1545",2024/06/04,02:28:21pm,4.71,"905",D7,45.43298281,-73.93883734,39.02,"0","0",,"1",50093ad5406f8ce0,3,4,"304","304",0.288363080843298,63889.8556429075,0.180100295139342,0.700096051367745,31,0.576818057488536,0.0397227600073054,0.0903477962207293,0.0167137200365664,-0.0266701755387252,0.00235028416513795,4303.70584663202,63640152.5982294,13421.4145271456,53569822.7396595
"1546",2024/06/04,02:28:34pm,4.71,"905",D5,45.43295598,-73.93891824,39.02,"0","0",,"1",50093ae27784cc33,3,3,"211","211",0.320046022936772,67388.6455458991,0.219430496699336,0.912489145022499,37,0.640464802977252,0.0407847272761756,0.100974460395153,0.0150220115545457,-0.0237590291597501,0.00275583533607507,5874.03362694334,87673682.8250596,13173.3317783058,60368164.7067755
"1547",2024/06/04,02:28:47pm,4.71,"905",D3,45.43292895,-73.93899903,39.02,"0","0",,"1",50093aef17380c91,3,2,"204","204",0.260446252136891,64232.882578404,0.104532187608146,0.955223095040724,56,0.521288327814701,0.0213332472831745,0.067423316532547,0.0103968893142227,-0.029784941197926,0.00197256046159628,2775.24482693325,35088955.4436353,15424.7423182461,41858034.7937902
"1548",2024/06/04,02:28:59pm,4.71,"905",D1,45.43290187,-73.9390798,39.02,"0","0",,"1",50093afb12549ffc,3,1,"111","111",0.262182245513007,63119.3715181195,0.082592229840026,0.964631578947368,81,0.524160547583278,0.016544910909722,0.0697291319060596,0.00926869007620258,-0.027473651586643,0.00194995268858981,2724.52140385243,17880407.9214191,15501.625324025,39544870.258351
"1549",2024/06/04,02:29:12pm,4.71,"905",D-1,45.4328751,-73.93916081,39.021,"0","0",,"1",50093b08785a7bd0,3,0,"104","104",0.296025512250803,64944.1540450539,0.128756121449559,0.981473440440006,71,0.592126797556832,0.0220951007410262,0.0931752770658729,0.0121413278471991,-0.0212773026483511,0.00239166235107428,3120.21216454456,33031587.5231822,14917.8083409859,44769049.6653175
"1550",2024/06/04,02:30:00pm,4.71,"905",U-1,45.43285046,-73.93914412,39.02,"0","0",,"1",50093b3805b857f6,4,0,"105","105",0.260620464793459,65359.6277636304,0.06987965967783,0.981447368421053,76,0.521281819388417,0.0134946353277706,0.0645808393398846,0.00783082374289397,-0.0266301613561994,0.0015909608091305,2553.41004511946,14199279.8845306,16280.0479811953,34621149.6291576
"1551",2024/06/04,02:30:13pm,4.71,"905",U1,45.43287695,-73.93906298,39.02,"0","0",,"1",50093b45131a1f8a,4,1,"112","112",0.246338914671929,62528.5016095226,0.051400587659158,0.997263121883183,106,0.492310314259661,0.0115698060295782,0.0592979765580382,0.00719961004592008,-0.0303615961268974,0.00165259520366198,2450.15093046033,12745435.1651731,15855.0776807367,34029368.6754769
"1552",2024/06/04,02:30:25pm,4.71,"905",U3,45.43290416,-73.93898236,39.02,"0","0",,"1",50093b5177614e40,4,2,"205","205",0.250373181503497,61250.5594180944,0.078418825741747,0.981841627411248,74,0.500794118645563,0.0161258220833601,0.0622624180433108,0.0083993247619323,-0.0305353211291663,0.0015841062550354,2193.50676452152,15917133.0605998,15504.6030735582,35762261.3366427
"1553",2024/06/04,02:30:38pm,4.71,"905",U5,45.43293104,-73.93890134,39.02,"0","0",,"1",50093b5e4c336168,4,3,"212","212",0.275630386704242,64730.9521645446,0.134430297094352,0.955591520941065,54,0.551261979342073,0.0277251819165323,0.0785653770867064,0.0105610751660516,-0.0283462664756194,0.00220085502065292,4466.25267384917,53392729.0162406,14255.2966542815,44951058.8254201
"1554",2024/06/04,02:30:51pm,4.71,"905",U7,45.43295813,-73.93882066,39.02,"0","0",,"1",50093b6b45d1b542,4,4,"305","305",0.296523666422591,64030.9131238206,0.181359329803002,0.978092681771532,64,0.592868535349465,0.0363810974126054,0.0958604324959443,0.0145747073757419,-0.0242647031077467,0.00252217373283657,4320.32598319284,59298590.1148523,13464.6511868969,46720752.9304071
"1555",2024/06/04,02:31:03pm,4.71,"905",U9,45.43298503,-73.93873976,39.02,"0","0",,"1",50093b771410315b,4,5,"312","312",0.359879356950865,68376.5601399926,0.301571651507336,0.847697368421053,30,0.719932176652392,0.0519544763919971,0.120772888861009,0.0186461122215228,-0.0228468601619203,0.00296641838249041,7130.06808966314,106636000.037949,11576.9790906466,64117532.3091716
"1556",2024/06/04,02:31:16pm,4.71,"905",U11,45.433012,-73.93865893,39.02,"0","0",,"1",50093b8410c2a505,4,6,"405","405",0.290189703453784,66200.8739781127,0.158291326037558,0.917525230595139,42,0.580027670316576,0.0314121869899754,0.0873738884845153,0.0130668610266297,-0.0241518766859696,0.00275419575423192,4329.66775276203,57939184.937324,13695.0116455378,44531150.2650102
"1557",2024/06/04,02:31:29pm,4.71,"905",U13,45.43303878,-73.93857797,39.02,"0","0",,"1",50093b9138442333,4,7,"412","412",0.268494141942074,65300.9640086713,0.118571577820148,0.928355263157895,44,0.537283527639203,0.0229234239027675,0.0762166596734125,0.0103802200028843,-0.0302368161721787,0.00253969078445023,3412.01128973281,49030784.6991894,14923.3276518295,44933516.8174923
"1558",2024/06/04,02:32:41pm,4.71,"905",D13,45.43301335,-73.93856101,39.019,"0","0",,"1",50093bd918887c7b,5,7,"413","413",0.329822540177003,69461.1152580443,0.222981090681153,0.894592105263158,34,0.659184788635478,0.0369086460857421,0.109426355830582,0.014444829681223,-0.0241763890825572,0.00293623089931749,5842.2553802758,92636462.9964847,13369.6362290633,59310498.3784718
"1559",2024/06/04,02:32:54pm,4.71,"905",D11,45.43298676,-73.9386421,39.019,"0","0",,"1",50093be6278a06c1,5,6,"406","406",0.349183823594139,70616.5847861574,0.257592279414165,0.611034355715207,18,0.698340052285158,0.0484793503222774,0.118025934501882,0.0179394828759223,-0.0221027468385024,0.00339474717636975,7042.53568093817,126003836.087134,12052.7471632547,59709565.6087313
