fid,id,Trial Name,IDrow,layer,path,704ExG_mean,704ExG_variance,704ExR_mean,704ExR_variance,704gNDVI_mean,704gNDVI_variance,704gNDRE_mean,704gNDRE_variance,704NDVI_mean,704NDVI_variance,704THRESH_mean,704THRESH_variance,704HA_mean,704HA_variance,704PLT_,ExR2mean
23,303,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2778.481716,14460441.38,2778.481716,14460441.38,0.071121304,0.011301808,-0.031002142,0.000925873,0.26726649,0.023557143,0.119453291,0.105184202,0.908022901,0.083517312,79,14271.17372
24,304,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2882.765459,12938870.64,2882.765459,12938870.64,0.05523305,0.011052165,-0.036539159,0.000887635,0.254341244,0.021804069,0.106063868,0.094814324,0.894191665,0.094612931,51,14999.86683
25,305,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2580.187004,6372972.506,2580.187004,6372972.506,0.04818146,0.007299768,-0.036014129,0.001507706,0.238428357,0.012801786,0.061991675,0.058148708,0.923973111,0.070246801,65,15436.50168
26,306,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2278.941395,4219688.17,2278.941395,4219688.17,0.053165274,0.005579237,-0.029906406,0.001421129,0.239463219,0.008962711,0.04360618,0.041704681,0.951414014,0.046225388,55,15144.54156
27,307,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2705.311527,12203674.51,2705.311527,12203674.51,0.099350458,0.0121118,-0.021272858,0.002419125,0.29749799,0.022359391,0.122856307,0.107762635,0.941596003,0.05499297,69,13260.67631
28,308,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2089.655143,12435935.04,2089.655143,12435935.04,0.073755411,0.005042482,-0.032325589,0.000571544,0.259067212,0.011903095,0.067313386,0.062782294,0.905336626,0.08570222,44,14659.26589
29,309,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2349.513651,24730108.51,2349.513651,24730108.51,0.087194456,0.006972414,-0.030881416,0.000581565,0.279394258,0.018122083,0.09639923,0.087106418,0.836821585,0.13655122,34,14549.85777
30,310,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2469.537721,25639366.79,2469.537721,25639366.79,0.081937779,0.006773083,-0.0299707,0.000602369,0.277239297,0.018458837,0.096013674,0.086795049,0.868548614,0.114171919,30,14535.79094
31,401,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,3137.552107,20411003.97,3137.552107,20411003.97,0.04964027,0.005497497,-0.033585093,0.000700073,0.238620281,0.01533388,0.07748517,0.071481219,0.946132134,0.050966119,78,15712.12009
32,402,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,1970.872965,2424672.098,1970.872965,2424672.098,0.002688017,0.001587154,-0.04895829,0.000284437,0.184074731,0.002942086,0.010154652,0.010051535,0.673041731,0.220056559,35,16641.31816
