Trial,DAS,Variable,Yield_r,Yield_p,PeakStand_r,PeakStand_p
25106,10,ExR,-0.249528835,0.3513303007,0.4637077747,0.0704260627
25106,10,GNDRE,0.0611263102,0.8220720347,0.2745991693,0.3033594447
25106,10,GNDVI,-0.202143888,0.4527797641,0.5604838184,0.0239255625
25106,10,HA,0.1470564295,0.5867995514,-0.213033496,0.4282625552
25106,10,NDVI,-0.147416986,0.585872469,0.6421243563,0.0073191962
25106,10,PlantCount,-0.040841389,0.8806264064,0.0232020681,0.9320304168
25106,10,Thresh,-0.199168299,0.4595990829,0.59392797,0.0152732561
25106,16,ExG,-0.407837083,0.1168561878,0.5809201684,0.0182854281
25106,16,ExR,0.3829988503,0.1431267142,-0.442198696,0.0863383821
25106,16,GNDRE,-0.602525936,0.0135052616,0.4754195711,0.06271918
25106,16,GNDVI,-0.508066498,0.0445041782,0.7148302178,0.0018577491
25106,16,HA,-0.080478378,0.7670154023,-0.027335266,0.9199557951
25106,16,NDVI,-0.466371634,0.0686155745,0.7280199843,0.001386502
25106,16,PlantCount,0.0197064564,0.9422533672,0.2234515286,0.4054662985
25106,16,Thresh,-0.425847075,0.1000484738,0.688777799,0.0031702288
25106,23,ExG,-0.388642361,0.136834198,0.8463240386,0.0000357901
25106,23,ExR,0.3934999302,0.1315719097,-0.870508816,0.0000115459
25106,23,GNDRE,0.3210561064,0.225330352,-0.123126612,0.6496195414
25106,23,GNDVI,-0.371193081,0.1569205472,0.7868411193,0.0002987346
25106,23,HA,0.1838130168,0.4955851474,-0.23041931,0.3905874383
25106,23,NDVI,-0.375982974,0.1512204268,0.8097624157,0.000143829
25106,23,PlantCount,0.2455459464,0.3593228119,-0.278431724,0.296385554
25106,23,Thresh,-0.416385916,0.1086495379,0.815038506,0.0001199063
25106,30,ExG,-0.206831551,0.4421406728,0.8674988175,0.0000134482
25106,30,ExR,0.1178231932,0.6638660428,-0.920314678,4.4223924E-7
25106,30,GNDRE,-0.083062212,0.7597369822,0.7927971858,0.0002491956
25106,30,GNDVI,-0.158564803,0.5575123575,0.9199701942,4.5537121E-7
25106,30,HA,-0.411390719,0.1133940093,0.0722798324,0.7902284623
25106,30,NDVI,-0.168418806,0.5329509349,0.9409618224,5.7299612E-8
25106,30,PlantCount,-0.44444983,0.0845623288,0.2914677962,0.2733852436
25106,30,Thresh,-0.206632136,0.442590658,0.9242082386,3.1473462E-7
25106,37,ExG,0.0499027274,0.8543805715,0.9347813887,1.1313471E-7
25106,37,ExR,-0.188624521,0.4841677344,-0.891990453,3.4410569E-6
25106,37,GNDRE,0.0992651455,0.7145462056,0.6207528733,0.0102874508
