fid,id,Trial Name,IDrow,layer,path,724ExG_mean,724ExG_variance,724ExR_mean,724ExR_variance,724gNDVI_mean,724gNDVI_variance,724NDRE_mean,724NDRE_variance,724THRESH_mean,724THRESH_variance,724HA_mean,724HA_variance,NDVI_mean,NDVI_variance,724PLT_
"25","305",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"12741.1425171044","190900287.183775","7412.29393259436","88391830.2255012","0.0858135404738757","0.0304556638065289","-0.0484925979185932","0.00190042551527244","0.376417396296828","0.234727340062049","0.869010310758116","0.113831390554258","0.307312438371823","0.101390971244112","48"
"26","306",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"14151.9308838257","178535066.165015","5246.02278685735","89278197.6235615","0.152426720809966","0.0358267417467587","-0.033709415305103","0.00195774471857728","0.460227841762644","0.248418175429076","0.653561546070342","0.226418851568768","0.392728464489193","0.105889069867471","25"
"27","307",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"14213.7668162575","156360564.672511","4418.68155694139","83057802.2273739","0.187599217355629","0.039298844939251","-0.0197622932510005","0.00230354705452496","0.499523258622662","0.249999772717871","0.75387431825983","0.185547830528418","0.428298704071788","0.102424210972381","29"
"28","308",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"13823.1854898651","155109369.34853","5902.66801346308","101881533.784788","0.17302099946484","0.0411523008157488","-0.0232812403313832","0.00208218668832364","0.474961891684199","0.249373093131918","0.50763531902026","0.249941701903472","0.412422879708858","0.108103841882357","13"
"29","309",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"18671.7771770335","178800338.614825","2169.81701880805","91811143.1825101","0.242862966480411","0.0293444818509588","-0.00802300783458538","0.00194885066176115","0.602248803827751","0.239545182115857","0.524320380802028","0.249408519077794","0.525771863101373","0.0770723345926709","14"
"30","310",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"15997.5042669304","173392185.283323","3413.00442743056","81099592.3500942","0.228085393809731","0.0271275366436977","-0.00944411326258844","0.0021195795867263","0.54378639709922","0.248082751429189","0.641854275528642","0.229877364514152","0.500193955704641","0.0753690875299474","18"
"31","401",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"11098.5132158063","132189360.540692","8564.28362121335","85768842.1236732","0.12190719873482","0.0347281828394592","-0.0392153271266891","0.00183036678221745","0.398746591398364","0.239747747246597","0.908010094848517","0.0835277625015951","0.354460739052009","0.0879558244064815","72"
"32","402",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"4862.67830444819","63922140.0607082","15519.1469100145","54949620.1839278","-0.0574837365320977","0.0255750638888747","-0.0759976905440377","0.00136337410680918","0.154879376128793","0.130891754978846","0.772195646974408","0.175909529767912","0.105363377980851","0.0638670580107018","60"
"33","403",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"14114.4424611666","132613399.99244","4997.21698932488","70196133.2084583","0.172738059653846","0.0305002952298001","-0.0244344928669094","0.00197321843732789","0.525037134009718","0.249373141920588","0.935457074171502","0.0603771365538589","0.427134991863197","0.0829898842647773","76"
"34","404",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"9626.3710082526","115008656.002288","9578.76408211044","84708083.2850722","0.0459432090223885","0.0394436908381014","-0.0595829119720802","0.00222893510709871","0.323322569070685","0.218785085400218","0.90253674755714","0.0879641668662254","0.24794810007879","0.107619110519696","78"
"35","405",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"6492.28992615142","85018860.1588259","13272.3920358045","66063252.3783653","-0.0558704402379955","0.0312147132897675","-0.0854114800302105","0.00157818888063367","0.189342691245279","0.153492036517124","0.886921960226072","0.100291396694906","0.094846786539028","0.08705827291338","62"
"36","406",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"13139.7172414705","132622160.853333","4397.02482539091","76101860.6300726","0.155597420314499","0.0424723311084854","-0.0339262980819512","0.00263280705552114","0.499900781839108","0.249999990155845","0.912313654942526","0.0799974499480112","0.394524181963439","0.111136982812362","63"
"37","407",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"4258.05720929106","57170782.3983306","14739.430087874","38036619.3614213","-0.0761294879394981","0.0183162689006261","-0.0791363028053585","0.00172603439386903","0.092232421827694","0.0837256021913081","0.901202426649553","0.0890366128505424","0.0420920492116691","0.0500322695872518","74"
"38","408",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"15193.4073254465","144360680.081912","3927.34984328721","76029114.0054583","0.208803833518461","0.0323982981872701","-0.0137341589923874","0.0026414193286978","0.547040036364071","0.247787234978746","0.85609041439933","0.1231996167729","0.468179875678521","0.0917850518074905","57"
"39","410",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"10660.0372404414","122263976.096709","8022.10045593831","62969588.6054428","0.133669621977379","0.024983484387916","-0.0269217788973104","0.00183115478524397","0.363133532088498","0.23126756996138","0.945933577405858","0.0511432445421131","0.35438930295447","0.0724768656935121","67"
"40","409",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"18070.3297016086","176723802.893368","2532.99736436188","56882802.1106114","0.242844993608397","0.0195988268007724","-0.00192448361791697","0.00248979123825834","0.602403874902828","0.239513446404946","0.899868436789858","0.0901052332592788","0.520947993165154","0.0596985263238636","58"
"41","501",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"9875.9429063468","130003603.282363","9560.26963885965","79056591.8335185","0.102519516395326","0.0319410912135107","-0.0391637855307443","0.00158080621153145","0.348278460121746","0.226980574337095","0.813645280130137","0.151626638252403","0.321519018403141","0.0838999649941384","52"
"42","502",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"15979.152907832","152449801.012462","4069.01790932957","99060889.0928379","0.214326662581679","0.0382713893788273","-0.0179535644666854","0.00199117188176258","0.575168322988794","0.244349723219268","0.793841186319062","0.163657357222847","0.490541438244196","0.0970624761136563","32"
