fid,id,Trial Name,IDrow,layer,path,805ExG_mean,805ExG_variance,805ExR_mean,805ExR_variance,805gNDVI_mean,805gNDVI_variance,805NDRE_mean,805NDRE_variance,805NDVI_mean,805NDVI_variance,805THRESH_mean,805THRESH_variance,805HA_mean,805HA_variance,805PLTCOUNT_
"39","410",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,21630.0155992573,135659185.90756,746.234062150363,95303063.6345565,0.234028468706017,0.0442569513065202,746.234062150363,95303063.6345565,0.564647394232848,0.0979945178104652,0.765828081278276,0.179335431203768,0.876622952105752,0.108155151947334,140
"40","409",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,27115.3687943262,76559540.3664248,-2854.02014285175,19377268.1492516,0.339049102242669,0.0137291509707398,-2854.02014285175,19377268.1492516,0.716382982683165,0.0105430166694556,0.970961453362515,0.0281953094466478,0.842381618763979,0.13277482713257,124
"41","501",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,21072.1637283514,151682077.592501,1524.08272727735,96620103.5439477,0.246019593967583,0.0329491793053725,1524.08272727735,96620103.5439477,0.567288590371967,0.0838814446753512,0.710924791885944,0.205510732167979,0.785518651852029,0.168479099444828,76
"42","502",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,25591.0438349938,154788686.687942,-206.903860885032,94855652.0040581,0.262641224380641,0.0317670067658819,-206.903860885032,94855652.0040581,0.602073991261241,0.0752596488122312,0.779270174263536,0.172008169766891,0.835667555704393,0.137327292047333,106
"43","503",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,30564.4852840929,117905706.87315,-3492.73561356048,62307194.785769,0.290913597772166,0.0232742485981352,-3492.73561356048,62307194.785769,0.674644540781625,0.0456283466277432,0.913534329143595,0.0789893586197054,0.670797052913597,0.220828366715841,68
"44","504",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,24231.7080432529,147529522.238763,-428.097555289856,120142038.333828,0.243138987988286,0.0497946163716589,-428.097555289856,120142038.333828,0.559369323925032,0.113662304635967,0.773194094702019,0.175364986620032,0.731769033277377,0.196283115213918,74
"45","505",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,27916.2472163845,113703666.932305,-4260.74647146587,47080520.0070025,0.285306840815129,0.0242616977192237,-4260.74647146587,47080520.0070025,0.644661080417329,0.0458533264173773,0.894568523280554,0.0943156804361976,0.752052845263117,0.186469363194563,80
"46","506",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,25425.7042059057,138467048.493478,-2101.53631149954,76836796.0191313,0.25370832218763,0.0395305812813433,-2101.53631149954,76836796.0191313,0.583768191621377,0.0917260451587842,0.800151094785927,0.159909320298829,0.83299901005575,0.139111659301802,96
"47","510",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,23433.3586909288,113320925.419413,-825.07524472314,68953756.6189729,0.2898487482125,0.0269000821258489,-825.07524472314,68953756.6189729,0.628120159706269,0.0601015950003665,0.814312873438349,0.151207417591037,0.807699097019485,0.155321265693298,78
"48","509",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,21450.7658468008,82954362.3954013,-112.135114849045,81008842.2206632,0.335557469383713,0.0446918963826019,-112.135114849045,81008842.2206632,0.649017016187174,0.0834815115213984,0.831523159034076,0.140092395024088,0.846034233965268,0.130260308924113,136
