id,Trial Name,TrialNumber,id_2,Trial Name_2,Combocode,distance
104,AYT Trial,25111,104,AYT Trial,25111104,0.155307942
104,AYT Trial,25111,104,AYT Trial,25111104,0.100400871
104,AYT Trial,25111,104,AYT Trial,25111104,0.100400871
104,AYT Trial,25111,104,AYT Trial,25111104,0.067982401
104,AYT Trial,25111,104,AYT Trial,25111104,0.067982401
104,AYT Trial,25111,104,AYT Trial,25111104,0.08769864
104,AYT Trial,25111,104,AYT Trial,25111104,0.129203881
104,AYT Trial,25111,104,AYT Trial,25111104,0.143279704
104,AYT Trial,25111,104,AYT Trial,25111104,0.088459959
104,AYT Trial,25111,104,AYT Trial,25111104,0.079346388
104,AYT Trial,25111,104,AYT Trial,25111104,0.074383792
104,AYT Trial,25111,104,AYT Trial,25111104,0.151790843
104,AYT Trial,25111,104,AYT Trial,25111104,0.156149198
104,AYT Trial,25111,104,AYT Trial,25111104,0.099670727
104,AYT Trial,25111,104,AYT Trial,25111104,0.132670593
104,AYT Trial,25111,104,AYT Trial,25111104,0.147141416
104,AYT Trial,25111,104,AYT Trial,25111104,0.131258607
104,AYT Trial,25111,104,AYT Trial,25111104,0.09600742
104,AYT Trial,25111,104,AYT Trial,25111104,0.122877886
104,AYT Trial,25111,104,AYT Trial,25111104,0.074383792
104,AYT Trial,25111,104,AYT Trial,25111104,0.1044749
104,AYT Trial,25111,104,AYT Trial,25111104,0.120841029
105,AYT Trial,25111,105,AYT Trial,25111105,0.278179586
105,AYT Trial,25111,105,AYT Trial,25111105,0.278179586
105,AYT Trial,25111,105,AYT Trial,25111105,0.11870906
105,AYT Trial,25111,105,AYT Trial,25111105,0.111577406
105,AYT Trial,25111,105,AYT Trial,25111105,0.157981753
105,AYT Trial,25111,105,AYT Trial,25111105,0.117389109
105,AYT Trial,25111,105,AYT Trial,25111105,0.158654833
105,AYT Trial,25111,105,AYT Trial,25111105,0.280918002
105,AYT Trial,25111,105,AYT Trial,25111105,0.224529946
105,AYT Trial,25111,105,AYT Trial,25111105,0.018027756
105,AYT Trial,25111,105,AYT Trial,25111105,0.086224412
105,AYT Trial,25111,105,AYT Trial,25111105,0.018027756
105,AYT Trial,25111,105,AYT Trial,25111105,0.070710678
105,AYT Trial,25111,105,AYT Trial,25111105,0.149706283
105,AYT Trial,25111,105,AYT Trial,25111105,0.011276597
105,AYT Trial,25111,105,AYT Trial,25111105,0.011276597
105,AYT Trial,25111,105,AYT Trial,25111105,0.195394555
105,AYT Trial,25111,105,AYT Trial,25111105,0.14512907
105,AYT Trial,25111,105,AYT Trial,25111105,0.150064048
105,AYT Trial,25111,105,AYT Trial,25111105,0.152413347
105,AYT Trial,25111,105,AYT Trial,25111105,0.184418669
105,AYT Trial,25111,105,AYT Trial,25111105,0.339133834
105,AYT Trial,25111,105,AYT Trial,25111105,0.13897735
105,AYT Trial,25111,105,AYT Trial,25111105,0.339133834
105,AYT Trial,25111,105,AYT Trial,25111105,0.138820851
105,AYT Trial,25111,105,AYT Trial,25111105,0.08769864
105,AYT Trial,25111,105,AYT Trial,25111105,0.08769864
105,AYT Trial,25111,105,AYT Trial,25111105,0.108579268
105,AYT Trial,25111,105,AYT Trial,25111105,0.123672563
105,AYT Trial,25111,105,AYT Trial,25111105,0.123672563
105,AYT Trial,25111,105,AYT Trial,25111105,0.188666619
105,AYT Trial,25111,105,AYT Trial,25111105,0.029529668
105,AYT Trial,25111,105,AYT Trial,25111105,0.029529668
105,AYT Trial,25111,105,AYT Trial,25111105,0.158654833
105,AYT Trial,25111,105,AYT Trial,25111105,0.066818012
105,AYT Trial,25111,105,AYT Trial,25111105,0.066818012
105,AYT Trial,25111,105,AYT Trial,25111105,0.218648684
105,AYT Trial,25111,105,AYT Trial,25111105,0.101007006
105,AYT Trial,25111,105,AYT Trial,25111105,0.079346388
105,AYT Trial,25111,105,AYT Trial,25111105,0.079346388
105,AYT Trial,25111,105,AYT Trial,25111105,0.121753941
105,AYT Trial,25111,105,AYT Trial,25111105,0.152413347
105,AYT Trial,25111,105,AYT Trial,25111105,0.13897735
105,AYT Trial,25111,105,AYT Trial,25111105,0.238075796
105,AYT Trial,25111,105,AYT Trial,25111105,0.150398517
105,AYT Trial,25111,105,AYT Trial,25111105,0.11870906
105,AYT Trial,25111,105,AYT Trial,25111105,0.122018165
105,AYT Trial,25111,105,AYT Trial,25111105,0.111577406
105,AYT Trial,25111,105,AYT Trial,25111105,0.098294326
105,AYT Trial,25111,105,AYT Trial,25111105,0.05846576
105,AYT Trial,25111,105,AYT Trial,25111105,0.05846576
105,AYT Trial,25111,105,AYT Trial,25111105,0.127764879
105,AYT Trial,25111,105,AYT Trial,25111105,0.127764879
105,AYT Trial,25111,105,AYT Trial,25111105,0.131862451
105,AYT Trial,25111,105,AYT Trial,25111105,0.077003954
105,AYT Trial,25111,105,AYT Trial,25111105,0.035924391
105,AYT Trial,25111,105,AYT Trial,25111105,0.035924391
105,AYT Trial,25111,105,AYT Trial,25111105,0.140175569
105,AYT Trial,25111,105,AYT Trial,25111105,0.153998305
105,AYT Trial,25111,105,AYT Trial,25111105,0.131133008
105,AYT Trial,25111,105,AYT Trial,25111105,0.131133008
105,AYT Trial,25111,105,AYT Trial,25111105,0.11550593
105,AYT Trial,25111,105,AYT Trial,25111105,0.11550593
106,AYT Trial,25111,106,AYT Trial,25111106,0.524614497
106,AYT Trial,25111,106,AYT Trial,25111106,0.234418551
106,AYT Trial,25111,106,AYT Trial,25111106,0.133718195
106,AYT Trial,25111,106,AYT Trial,25111106,0.133718195
106,AYT Trial,25111,106,AYT Trial,25111106,0.096971402
106,AYT Trial,25111,106,AYT Trial,25111106,0.222860922
106,AYT Trial,25111,106,AYT Trial,25111106,0.390244699
106,AYT Trial,25111,106,AYT Trial,25111106,0.220799015
106,AYT Trial,25111,106,AYT Trial,25111106,0.01287697
106,AYT Trial,25111,106,AYT Trial,25111106,0.106620821
106,AYT Trial,25111,106,AYT Trial,25111106,0.01287697
106,AYT Trial,25111,106,AYT Trial,25111106,0.106620821
106,AYT Trial,25111,106,AYT Trial,25111106,0.223599706
106,AYT Trial,25111,106,AYT Trial,25111106,0.228712712
106,AYT Trial,25111,106,AYT Trial,25111106,0.057593523
106,AYT Trial,25111,106,AYT Trial,25111106,0.049878324
106,AYT Trial,25111,106,AYT Trial,25111106,0.049878324
106,AYT Trial,25111,106,AYT Trial,25111106,0.058276758
106,AYT Trial,25111,106,AYT Trial,25111106,0.120226357
106,AYT Trial,25111,106,AYT Trial,25111106,0.120226357
106,AYT Trial,25111,106,AYT Trial,25111106,0.041322795
106,AYT Trial,25111,106,AYT Trial,25111106,0.041322795
106,AYT Trial,25111,106,AYT Trial,25111106,0.243666217
106,AYT Trial,25111,106,AYT Trial,25111106,0.017804903
106,AYT Trial,25111,106,AYT Trial,25111106,0.017804903
106,AYT Trial,25111,106,AYT Trial,25111106,0.304510822
106,AYT Trial,25111,106,AYT Trial,25111106,0.054470303
106,AYT Trial,25111,106,AYT Trial,25111106,0.054470303
106,AYT Trial,25111,106,AYT Trial,25111106,0.20123355
106,AYT Trial,25111,106,AYT Trial,25111106,0.101205768
