SiteYear,Trial,Trial_Full,Combocode,Yield,Yield_HAadj,HA,PeakStand
2025LODS,25110,2025LODS_25110,25110607.0,429.8138639,506.2078631468009,0.849085712,0.391785868
2025LODS,25110,2025LODS_25110,25110608.0,260.4637356,279.0175180156299,0.933503163,0.446201131
2025LODS,25110,2025LODS_25110,25110609.0,459.5555199,522.1906710579381,0.880053102,0.303083216
2025LODS,25110,2025LODS_25110,25110610.0,431.3157895,487.37641187526344,0.884974691,0.388695851
2025LODS,25110,2025LODS_25110,25110612.0,1202.81611,1439.0912728854562,0.835816416,0.347999904
2025LODS,25104,2025LODS_25104,25104101.0,534.0,534.2939471579684,0.99944984,0.273615596
2025LODS,25104,2025LODS_25104,25104102.0,1547.0,1562.5784745570968,0.990030277,0.402379233
2025LODS,25104,2025LODS_25104,25104103.0,1172.0,1204.3795106999219,0.973115193,0.320194688
2025LODS,25104,2025LODS_25104,25104104.0,1125.0,1180.5112737032262,0.952976922,0.41335523
2025LODS,25104,2025LODS_25104,25104105.0,2382.0,2669.204919930055,0.892400573,0.524092861
2025LODS,25104,2025LODS_25104,25104106.0,1226.0,1432.5949470997373,0.8557897,0.369912817
2025LODS,25104,2025LODS_25104,25104107.0,2154.0,2312.1513636815953,0.931599909,0.461716937
2025LODS,25104,2025LODS_25104,25104108.0,2192.0,2537.1086839291424,0.863975601,0.525516367
2025LODS,25104,2025LODS_25104,25104109.0,1678.0,1767.385148648482,0.949425201,0.4217166
2025LODS,25104,2025LODS_25104,25104201.0,1492.0,1503.8396074181953,0.992127081,0.373920968
2025LODS,25104,2025LODS_25104,25104202.0,3107.0,3135.4976286525102,0.99091129,0.582872928
2025LODS,25104,2025LODS_25104,25104203.0,1849.0,1855.3903986944572,0.996555766,0.523399471
2025LODS,25104,2025LODS_25104,25104204.0,2033.0,2041.8826509973176,0.995649774,0.564088746
2025LODS,25104,2025LODS_25104,25104205.0,2592.0,2709.682525503899,0.956569626,0.497014907
2025LODS,25104,2025LODS_25104,25104206.0,1865.0,1882.0404952669185,0.990945734,0.498409167
2025LODS,25104,2025LODS_25104,25104207.0,2723.0,2907.996305612291,0.936383583,0.59957853
2025LODS,25104,2025LODS_25104,25104208.0,2342.0,2762.9037624476678,0.847658913,0.597065085
2025LODS,25104,2025LODS_25104,25104209.0,2259.0,2290.8204304334563,0.986109592,0.654963565
2025LODS,25104,2025LODS_25104,25104301.0,2760.0,2943.248685149238,0.937739313,0.613402738
2025LODS,25104,2025LODS_25104,25104302.0,2118.0,2138.9155547262194,0.990221421,0.636684119
2025LODS,25105,2025LODS_25105,25105401.0,622.0,626.3591874786046,0.993040435,0.4948483
2025LODS,25105,2025LODS_25105,25105403.0,361.0,419.48508059943345,0.860578878,0.587251091
2025LODS,25105,2025LODS_25105,25105406.0,604.0,702.7266479214179,0.859509173,0.631155971
2025LODS,25105,2025LODS_25105,25105407.0,1430.0,2830.1598529898597,0.505271813,0.630483146
2025LODS,25105,2025LODS_25105,25105408.0,1144.0,1374.1541371086241,0.832512139,0.567724342
2025LODS,25105,2025LODS_25105,25105409.0,840.0,874.5882356593869,0.960451977,0.690714247
2025LODS,25105,2025LODS_25105,25105502.0,1109.0,1211.3548210886383,0.915503848,0.682668728
2025LODS,25105,2025LODS_25105,25105504.0,1282.0,1331.1348979425777,0.963087965,0.778732374
2025LODS,25105,2025LODS_25105,25105505.0,1252.0,1364.324458874212,0.917670274,0.814203009
2025LODS,25105,2025LODS_25105,25105506.0,1552.0,1647.009150822107,0.942314133,0.757818573
2025LODS,25105,2025LODS_25105,25105507.0,1595.0,1786.3857623625631,0.892864259,0.776287607
2025LODS,25105,2025LODS_25105,25105601.0,1237.0,1268.6640740847965,0.975041404,0.727869065
2025LODS,25105,2025LODS_25105,25105602.0,691.0,716.8284866171654,0.963968387,0.726864492
2025LODS,25106,2025LODS_25106,25106701.0,1542.0,1669.0907485700768,0.923856298,0.764173563
2025LODS,25106,2025LODS_25106,25106702.0,1239.0,1294.5437903713707,0.957093927,0.650167569
2025LODS,25106,2025LODS_25106,25106703.0,975.0,1046.338360638588,0.931820945,0.879715519
2025LODS,25106,2025LODS_25106,25106704.0,819.0,876.0461891470386,0.934882213,0.63442831
2025LODS,25106,2025LODS_25106,25106705.0,1642.0,1728.4692350760877,0.949973518,0.883592151
2025LODS,25106,2025LODS_25106,25106706.0,1263.0,1436.4108360813627,0.879274904,0.736353036
2025LODS,25106,2025LODS_25106,25106707.0,2142.0,2243.2040342987784,0.95488416,0.77565544
2025LODS,25106,2025LODS_25106,25106708.0,1574.0,1629.5268998796219,0.965924527,0.617264307
2025LODS,25106,2025LODS_25106,25106709.0,1301.0,1377.62923623783,0.944376009,0.448345971
2025LODS,25106,2025LODS_25106,25106803.0,1371.0,1579.7009984121655,0.867885759,0.872969555
2025LODS,25106,2025LODS_25106,25106804.0,646.0,707.5591984003572,0.912997812,0.894696914
2025LODS,25106,2025LODS_25106,25106805.0,1918.0,2148.7727216820786,0.892602545,0.80746058
2025LODS,25106,2025LODS_25106,25106806.0,1642.0,1709.2887426355835,0.960633484,0.656304064
2025LODS,25106,2025LODS_25106,25106807.0,1837.0,1891.370733255656,0.971253265,0.887117742
2025LODS,25106,2025LODS_25106,25106808.0,963.0,988.6490543091331,0.974056462,0.873284538
2025LODS,25106,2025LODS_25106,25106809.0,1538.0,1631.7745385141081,0.942532172,0.673149145
2025SVREC,2501,2025SVREC_2501,,2835.041595,2874.5445112773054,0.986257678,0.808324685
2025SVREC,2501,2025SVREC_2501,,2656.195386,2716.0436884269884,0.977964897,0.761906062
2025SVREC,2501,2025SVREC_2501,,2252.702401,2290.9934981618903,0.983286248,0.829887757
2025SVREC,2501,2025SVREC_2501,,1906.389332,1939.0095041178292,0.983176889,0.747239565
