Site,Trial,Block,Entry,Yield,HA_Mean,sum_distances_div2,variance_distance
SVREC_2025,2502,2,32,2860.10217,0.965185374,4.4342089865,0.0030400374328028892
SVREC_2025,2502,2,7,3183.998464,0.939526491,4.0740508115,0.002404544421581251
SVREC_2025,2502,2,19,2322.31136,0.955000273,3.818129661,0.0021746037921836136
SVREC_2025,2502,2,30,2759.814312,0.983688124,4.2086688275,0.0014272353674512571
SVREC_2025,2502,2,17,2102.902295,0.919276054,4.2618142535,0.0022949032318649114
SVREC_2025,2502,2,16,2684.307087,0.960864731,4.227504051,0.0014934899923281068
SVREC_2025,2502,2,23,2482.077252,0.929338218,4.065728196,0.0010634217667501312
SVREC_2025,2502,2,9,3037.416075,0.95496218,3.888638499,0.0021352552426989724
SVREC_2025,2502,2,22,2217.787354,0.945334573,3.6461802235,0.0013211335199575952
SVREC_2025,2502,2,1,2364.796668,0.931633434,4.029776981,0.0018714975226873268
SVREC_2025,2502,2,31,2287.635827,0.977889575,4.2194933345,0.0017123667897204937
SVREC_2025,2502,2,25,2065.247503,0.95625786,4.2638616985,0.0015985037833673376
SVREC_2025,2502,2,15,2160.080181,0.955068263,3.9067349365,0.0030485855534992338
SVREC_2025,2502,2,6,2195.954628,0.949399391,4.4073650535,0.0016956607879831129
SVREC_2025,2502,2,4,2302.355387,0.932782911,4.0299058085,0.002031905538337278
SVREC_2025,2502,2,10,2409.050173,0.971074983,4.328790368,0.0022078807642581934
SVREC_2025,2502,2,35,2174.879873,0.931855875,3.9920679665,0.0019412546554004192
SVREC_2025,2502,2,13,1834.723209,0.947814516,4.267276325,0.001299330016525225
SVREC_2025,2502,3,21,2712.684367,0.967808968,4.3427543155,0.0014044371652936786
SVREC_2025,2502,3,3,2567.927621,0.970108448,4.277533532,0.0010959989008545725
SVREC_2025,2502,3,36,2658.314529,0.978181619,4.5172333665,0.0014443312911810876
SVREC_2025,2502,3,10,2656.377905,0.978054026,4.307115387,0.0022785695736255523
SVREC_2025,2502,3,29,1810.279936,0.976834469,3.6892528785,0.0031634403563052574
SVREC_2025,2502,3,35,2766.289226,0.974847811,4.2703083475,0.002094320116505636
SVREC_2025,2502,3,27,3129.327996,0.976360588,4.42496824,0.0021093368631405524
SVREC_2025,2502,3,1,3075.197835,0.979276406,4.2717962975,0.0022258054488302147
SVREC_2025,2502,3,8,3267.907864,0.946063688,3.916658533,0.0016430900435065784
SVREC_2025,2502,3,30,2534.530752,0.97743429,4.6121018955,0.0024282106594514766
SVREC_2025,2502,3,17,2625.369599,0.953487524,4.2169425935,0.00201601488046935
SVREC_2025,2502,3,20,2697.040738,0.96238176,4.3765649935,0.002021781623405073
SVREC_2025,2502,3,31,2715.410841,0.972824205,4.3044827945,0.0010465758261265883
SVREC_2025,2502,3,2,2822.477434,0.96978037,4.416371896,0.0025144435958050575
SVREC_2025,2502,3,28,2325.164322,0.975504402,4.3557716585,0.0020584301684332157
SVREC_2025,2502,3,32,3311.702708,0.976322841,4.4907562125,0.002291889184688878
SVREC_2025,2502,3,13,3135.767717,0.98696825,4.9808831205,0.002509479249324319
SVREC_2025,2502,3,16,3569.848521,0.982229108,4.534103653,0.0025308021622946135
SVREC_2025,2502,3,34,2825.338679,0.979384262,5.2391177785,0.0025371609649298323
SVREC_2025,2502,3,18,2450.660131,0.978838197,4.4107409975,0.0029027732903890648
SVREC_2025,2502,3,19,2234.91449,0.963088533,4.1414723865,0.0027525699531047616
SVREC_2025,2502,3,26,3328.807039,0.983687232,4.3296391405,0.002474155209722328
SVREC_2025,2502,3,23,2672.588055,0.980442192,4.429845558,0.0021008702395172198
SVREC_2025,2502,3,6,2740.671092,0.974062665,4.3843773355,0.0016262056672884453
SVREC_2025,2502,3,33,2879.309302,0.98175422,4.256706534,0.001314541980169546
SVREC_2025,2502,3,22,2624.895717,0.969635111,4.18673474,0.0021414817881785235
SVREC_2025,2502,3,7,2916.560015,0.974864205,4.324705797,0.003316136193984177
SVREC_2025,2502,3,24,2207.507922,0.971036419,4.3172909165,0.001771058623749564
SVREC_2025,2502,3,4,2833.619743,0.976669158,4.5774825415,0.0018076743308181786
SVREC_2025,2502,3,9,3233.094248,0.964566283,4.2477850385,0.0026024342289859862
SVREC_2025,2502,4,30,2164.457269,0.976670433,4.3276841755,0.002484699865068555
SVREC_2025,2502,4,17,2264.774198,0.968322823,4.469564507,0.0024826442865370415
SVREC_2025,2502,4,36,2731.535121,0.981007929,4.664995984,0.0018355527033091866
SVREC_2025,2502,4,9,2747.317697,0.964987424,4.0269505235,0.003648940128149214
SVREC_2025,2502,4,16,2732.322835,0.978748223,4.329332605,0.00166795281057016
